dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,50000,BT,0.002004
FB_res_peso_asc,1,4,BT,0.001733
FB_res_peso_asc,2,17,BT,0.002264
FB_res_peso_asc,3,11,BT,0.002024
FB_res_peso_asc,4,40,BT,0.002575
FB_res_peso_asc,5,40,BT,0.003526
FB_res_peso_asc,6,51,BT,0.00505
FB_res_peso_asc,7,63,BT,0.00516
FB_res_peso_asc,8,78,BT,0.009277
FB_res_peso_asc,9,85,BT,0.015469
FB_res_peso_asc,10,100,BT,0.009638
FB_res_peso_asc,11,103,BT,0.012143
FB_res_peso_asc,12,113,BT,0.01624
FB_res_peso_asc,13,130,BT,0.027502
FB_res_peso_asc,14,135,BT,0.014757
FB_res_peso_asc,15,142,BT,0.048911
FB_res_peso_asc,16,157,BT,0.039394
FB_res_peso_asc,17,156,BT,0.051466
FB_res_peso_asc,18,153,BT,0.245378
FB_res_peso_asc,19,183,BT,0.093715
FB_res_peso_asc,20,199,BT,0.270885
FB_res_peso_asc,21,197,BT,0.136345
FB_res_peso_asc,22,214,BT,0.201135
FB_res_peso_asc,23,225,BT,0.188501
FB_res_peso_asc,24,237,BT,0.77236
FB_res_peso_asc,25,242,BT,0.181308
FB_res_peso_asc,26,242,BT,0.186367
FB_res_peso_asc,27,266,BT,0.227273
FB_res_peso_asc,28,278,BT,2.83615
FB_res_peso_asc,29,281,BT,0.328052
FB_res_peso_asc,30,281,BT,1.46319
FB_res_peso_asc,31,301,BT,0.795653
FB_res_peso_asc,32,308,BT,0.38635
FB_res_peso_asc,33,327,BT,0.259795
FB_res_peso_asc,34,332,BT,0.87391
FB_res_peso_asc,35,334,BT,0.871795
FB_res_peso_asc,36,348,BT,1.62049
FB_res_peso_asc,37,370,BT,4.52713
FB_res_peso_asc,38,373,BT,5.79147
FB_res_peso_asc,39,379,BT,5.86451
FB_res_peso_asc,40,394,BT,9.00619
FB_res_peso_asc,41,404,BT,3.39684
FB_res_peso_asc,42,414,BT,20.8349
FB_res_peso_asc,43,419,BT,4.36733
FB_res_peso_asc,44,422,BT,1.08458
FB_res_peso_asc,45,446,BT,2.48439
FB_res_peso_asc,46,440,BT,9.7576
FB_res_peso_asc,47,470,BT,10.5291
FB_res_peso_asc,48,473,BT,1.80942
FB_res_peso_asc,49,483,BT,2.33099
FB_res_peso_asc,50,495,BT,10.4016
FB_res_peso_asc,51,506,BT,14.3665
FB_res_peso_asc,52,506,BT,12.0722
FB_res_peso_asc,53,518,BT,23.7668
FB_res_peso_asc,54,519,BT,81.72
FB_res_peso_asc,55,546,BT,7.36374
FB_res_peso_asc,56,560,BT,5.0673
FB_res_peso_asc,57,562,BT,23.3162
FB_res_peso_asc,58,572,BT,12.576
FB_res_peso_asc,59,587,BT,85.9569
FB_res_peso_asc,60,592,BT,32.7208
FB_res_peso_asc,61,566,BT,4.62969
FB_res_peso_asc,62,596,BT,5.53986
FB_res_peso_asc,63,611,BT,2.17155
FB_res_peso_asc,64,603,BT,20.0761
FB_res_peso_asc,65,650,BT,23.9207
FB_res_peso_asc,66,647,BT,17.5596
FB_res_peso_asc,67,666,BT,92.2268
FB_res_peso_asc,68,670,BT,25.3338
FB_res_peso_asc,69,675,BT,75.3261
FB_res_peso_asc,70,679,BT,24.6672
FB_res_peso_asc,71,703,BT,228.552
FB_res_peso_asc,72,714,BT,93.8566
FB_res_peso_asc,73,724,BT,216.072
FB_res_peso_asc,74,730,BT,68.0532
FB_res_peso_asc,75,738,BT,34.2973
FB_res_peso_asc,76,735,BT,129.226
FB_res_peso_asc,77,768,BT,224.258
FB_res_peso_asc,78,773,BT,110.846
FB_res_peso_asc,79,786,BT,89.5777
FB_res_peso_asc,80,792,BT,85.4441
FB_res_peso_asc,81,789,BT,65.9586
FB_res_peso_asc,82,815,BT,246.113
FB_res_peso_asc,83,829,BT,108.046
FB_res_peso_asc,84,833,BT,754.491
FB_res_peso_asc,85,833,BT,63.9426
FB_res_peso_asc,86,853,BT,321.852
FB_res_peso_asc,87,867,BT,166.265
FB_res_peso_asc,88,867,BT,40.1222
FB_res_peso_asc,89,890,BT,204.465
