dataset,n,R,metodo,tiempo
random,1,3,DP,0.002054
random,2,19,DP,0.002014
random,3,17,DP,0.002264
random,4,34,DP,0.003236
random,5,46,DP,0.003065
random,6,58,DP,0.005029
random,7,51,DP,0.003446
random,8,65,DP,0.010139
random,9,81,DP,0.008937
random,10,97,DP,0.017583
random,11,108,DP,0.008726
random,12,114,DP,0.009067
random,13,126,DP,0.024807
random,14,123,DP,0.026429
random,15,142,DP,0.013074
random,16,148,DP,0.022953
random,17,167,DP,0.017021
random,18,166,DP,0.023975
random,19,186,DP,0.025037
random,20,194,DP,0.024286
random,21,207,DP,0.02678
random,22,207,DP,0.028173
random,23,224,DP,0.035145
random,24,229,DP,0.028093
random,25,246,DP,0.034885
random,26,227,DP,0.040576
random,27,264,DP,0.046467
random,28,279,DP,0.054221
random,29,282,DP,0.05349
random,30,287,DP,0.052758
random,31,294,DP,0.063799
random,32,318,DP,0.064851
random,33,299,DP,0.06983
random,34,340,DP,0.179705
random,35,332,DP,0.150381
random,36,360,DP,0.102021
random,37,370,DP,0.077705
random,38,377,DP,0.093915
random,39,381,DP,0.082363
random,40,383,DP,0.12843
random,41,406,DP,0.100387
random,42,402,DP,0.127828
random,43,427,DP,0.115135
random,44,432,DP,0.123901
random,45,437,DP,0.111278
random,46,460,DP,0.110045
random,47,470,DP,0.191547
random,48,470,DP,0.198741
random,49,490,DP,0.167051
random,50,481,DP,0.149759
random,51,504,DP,0.350283
random,52,514,DP,0.165057
random,53,527,DP,0.412169
random,54,517,DP,0.219169
random,55,536,DP,0.196877
random,56,551,DP,0.210723
random,57,565,DP,0.206015
random,58,579,DP,0.208829
random,59,582,DP,0.227283
random,60,595,DP,0.235479
random,61,604,DP,0.277798
random,62,614,DP,0.354131
random,63,624,DP,0.421045
random,64,640,DP,0.279301
random,65,633,DP,0.395798
random,66,654,DP,0.580403
random,67,652,DP,0.726094
random,68,665,DP,0.260836
random,69,690,DP,0.317673
random,70,699,DP,0.297655
random,71,702,DP,0.331328
random,72,718,DP,0.386551
random,73,726,DP,0.331127
random,74,739,DP,0.818757
random,75,746,DP,0.398343
random,76,758,DP,1.05709
random,77,769,DP,0.982392
random,78,764,DP,1.25106
random,79,768,DP,0.963708
random,80,785,DP,1.10323
random,81,807,DP,1.04416
random,82,804,DP,1.27807
random,83,828,DP,1.11762
random,84,835,DP,0.826802
random,85,845,DP,0.75062
random,86,850,DP,0.444499
random,87,862,DP,0.520551
random,88,880,DP,0.435693
random,89,874,DP,0.59493
random,90,886,DP,0.502017
random,91,908,DP,0.567779
random,92,902,DP,0.614906
random,93,929,DP,0.644172
random,94,932,DP,0.641657
random,95,937,DP,0.614666
random,96,946,DP,0.576686
random,97,962,DP,0.565144
random,98,958,DP,0.604878
random,99,988,DP,0.652567
random,100,994,DP,0.710284
random,101,1005,DP,0.783942
random,102,994,DP,0.719422
random,103,1026,DP,0.733248
random,104,1021,DP,0.706427
random,105,1022,DP,0.651655
random,106,1033,DP,0.861247
random,107,1057,DP,0.983955
random,108,1068,DP,0.854013
random,109,1076,DP,0.753896
random,110,1098,DP,0.864342
random,111,1108,DP,0.865014
random,112,1119,DP,0.946997
random,113,1121,DP,0.94926
random,114,1136,DP,0.844626
random,115,1138,DP,0.979097
random,116,1143,DP,1.99353
random,117,1167,DP,1.56024
random,118,1161,DP,0.908064
random,119,1181,DP,0.898727
random,120,1197,DP,1.17924
random,121,1201,DP,1.15211
random,122,1220,DP,1.2327
random,123,1223,DP,2.58186
random,124,1236,DP,1.22659
random,125,1241,DP,1.27337
random,126,1253,DP,2.03619
random,127,1235,DP,2.85543
random,128,1276,DP,1.84479
random,129,1278,DP,3.40101
random,130,1293,DP,1.33699
random,131,1302,DP,1.57503
random,132,1319,DP,3.6839
random,133,1326,DP,1.67712
random,134,1338,DP,1.55441
random,135,1349,DP,1.5868
random,136,1352,DP,3.48235
random,137,1361,DP,3.68707
random,138,1380,DP,3.64925
random,139,1384,DP,3.78992
random,140,1383,DP,3.94731
random,141,1404,DP,1.89935
random,142,1411,DP,1.72191
random,143,1411,DP,1.36889
random,144,1439,DP,4.18175
random,145,1441,DP,1.9191
random,146,1459,DP,1.48344
random,147,1452,DP,1.88588
random,148,1480,DP,1.80702
random,149,1480,DP,2.23406
random,150,1498,DP,2.2093
random,151,1510,DP,1.93496
random,152,1515,DP,3.79166
random,153,1521,DP,2.20036
random,154,1528,DP,2.16541
random,155,1550,DP,5.50866
random,156,1552,DP,2.47161
random,157,1543,DP,3.27291
random,158,1573,DP,2.92387
random,159,1578,DP,3.03068
random,160,1600,DP,2.10556
random,161,1609,DP,2.59123
random,162,1614,DP,2.0716
random,163,1629,DP,2.14147
random,164,1608,DP,2.09475
random,165,1641,DP,2.46442
random,166,1651,DP,2.39245
random,167,1667,DP,6.45956
random,168,1670,DP,3.26375
random,169,1690,DP,2.39769
random,170,1700,DP,5.532
random,171,1705,DP,5.58256
random,172,1713,DP,2.68264
random,173,1730,DP,2.37053
random,174,1717,DP,2.47041
random,175,1745,DP,5.56524
random,176,1755,DP,5.87247
random,177,1761,DP,2.53617
random,178,1768,DP,4.13671
random,179,1788,DP,3.59647
random,180,1794,DP,3.36978
random,181,1795,DP,4.44168
random,182,1819,DP,2.93735
random,183,1829,DP,2.7401
random,184,1835,DP,2.62511
random,185,1846,DP,6.43703
random,186,1844,DP,6.74484
random,187,1869,DP,3.19929
random,188,1838,DP,3.40912
random,189,1887,DP,3.08942
random,190,1900,DP,3.33522
random,191,1874,DP,3.27875
random,192,1917,DP,3.24144
random,193,1929,DP,3.44164
random,194,1937,DP,3.06061
random,195,1946,DP,7.50141
random,196,1955,DP,7.45183
random,197,1970,DP,3.97199
random,198,1974,DP,3.46567
random,199,1990,DP,2.96093
random,200,2000,DP,4.99666
random,201,2001,DP,4.96454
random,202,2015,DP,3.38134
random,203,1993,DP,3.28617
random,204,2039,DP,3.3672
random,205,2041,DP,3.9843
random,206,2058,DP,3.86894
random,207,2068,DP,4.9068
random,208,2076,DP,8.12362
random,209,2080,DP,8.63669
random,210,2081,DP,8.22476
random,211,2108,DP,4.13782
random,212,2107,DP,3.89171
random,213,2125,DP,3.41677
random,214,2132,DP,3.79906
random,215,2146,DP,3.68159
random,216,2148,DP,3.89888
random,217,2165,DP,3.81475
random,218,2175,DP,3.50028
random,219,2185,DP,4.52589
random,220,2196,DP,4.30464
random,221,2209,DP,4.57248
random,222,2215,DP,4.40435
random,223,2225,DP,4.88122
random,224,2202,DP,4.74796
random,225,2250,DP,5.42397
random,226,2258,DP,5.56087
random,227,2264,DP,5.82025
random,228,2278,DP,5.10098
random,229,2285,DP,4.47305
random,230,2300,DP,6.62492
random,231,2307,DP,4.19084
random,232,2314,DP,5.78116
random,233,2321,DP,5.3209
random,234,2340,DP,6.66659
random,235,2333,DP,4.25528
random,236,2354,DP,5.24736
random,237,2359,DP,4.34091
random,238,2379,DP,6.73491
random,239,2384,DP,7.35482
random,240,2392,DP,4.96468
random,241,2404,DP,11.2292
random,242,2417,DP,13.3623
random,243,2425,DP,6.06903
random,244,2421,DP,12.2149
random,245,2448,DP,5.98249
random,246,2453,DP,5.53124
random,247,2461,DP,13.5558
random,248,2480,DP,11.9762
random,249,2482,DP,7.98877
random,250,2497,DP,13.5995
FB_res_peso_asc,0,50000,DP,1.13697
FB_res_peso_asc,1,4,DP,0.004188
FB_res_peso_asc,2,17,DP,0.004679
FB_res_peso_asc,3,11,DP,0.004618
FB_res_peso_asc,4,40,DP,0.002695
FB_res_peso_asc,5,40,DP,0.002896
FB_res_peso_asc,6,51,DP,0.003567
FB_res_peso_asc,7,63,DP,0.004057
FB_res_peso_asc,8,78,DP,0.005901
FB_res_peso_asc,9,85,DP,0.007424
FB_res_peso_asc,10,100,DP,0.007414
FB_res_peso_asc,11,103,DP,0.008616
FB_res_peso_asc,12,113,DP,0.008967
FB_res_peso_asc,13,130,DP,0.02724
FB_res_peso_asc,14,135,DP,0.011402
FB_res_peso_asc,15,142,DP,0.013385
FB_res_peso_asc,16,157,DP,0.01585
FB_res_peso_asc,17,156,DP,0.017383
FB_res_peso_asc,18,153,DP,0.020068
FB_res_peso_asc,19,183,DP,0.049893
FB_res_peso_asc,20,199,DP,0.024205
FB_res_peso_asc,21,197,DP,0.065733
FB_res_peso_asc,22,214,DP,0.027581
FB_res_peso_asc,23,225,DP,0.032772
FB_res_peso_asc,24,237,DP,0.033263
FB_res_peso_asc,25,242,DP,0.034946
FB_res_peso_asc,26,242,DP,0.036869
FB_res_peso_asc,27,266,DP,0.05877
FB_res_peso_asc,28,278,DP,0.064591
FB_res_peso_asc,29,281,DP,0.045254
FB_res_peso_asc,30,281,DP,0.057267
FB_res_peso_asc,31,301,DP,0.058119
FB_res_peso_asc,32,308,DP,0.055704
FB_res_peso_asc,33,327,DP,0.054391
FB_res_peso_asc,34,332,DP,0.099135
FB_res_peso_asc,35,334,DP,0.061695
FB_res_peso_asc,36,348,DP,0.191417
FB_res_peso_asc,37,370,DP,0.088155
FB_res_peso_asc,38,373,DP,0.080461
FB_res_peso_asc,39,379,DP,0.108001
FB_res_peso_asc,40,394,DP,0.104485
FB_res_peso_asc,41,404,DP,0.106489
FB_res_peso_asc,42,414,DP,0.285402
FB_res_peso_asc,43,419,DP,0.113191
FB_res_peso_asc,44,422,DP,0.105186
FB_res_peso_asc,45,446,DP,0.122699
FB_res_peso_asc,46,440,DP,0.146674
FB_res_peso_asc,47,470,DP,0.15009
FB_res_peso_asc,48,473,DP,0.131325
FB_res_peso_asc,49,483,DP,0.145832
FB_res_peso_asc,50,495,DP,0.164727
FB_res_peso_asc,51,506,DP,0.19839
FB_res_peso_asc,52,506,DP,0.190766
FB_res_peso_asc,53,518,DP,0.255016
FB_res_peso_asc,54,519,DP,0.246539
FB_res_peso_asc,55,546,DP,0.21996
FB_res_peso_asc,56,560,DP,0.196917
FB_res_peso_asc,57,562,DP,0.227375
FB_res_peso_asc,58,572,DP,0.232203
FB_res_peso_asc,59,587,DP,0.258863
FB_res_peso_asc,60,592,DP,0.231392
FB_res_peso_asc,61,566,DP,0.204762
FB_res_peso_asc,62,596,DP,0.233074
FB_res_peso_asc,63,611,DP,0.220732
FB_res_peso_asc,64,603,DP,0.237322
FB_res_peso_asc,65,650,DP,0.288338
FB_res_peso_asc,66,647,DP,0.692422
FB_res_peso_asc,67,666,DP,0.753866
FB_res_peso_asc,68,670,DP,0.64382
FB_res_peso_asc,69,675,DP,0.472832
FB_res_peso_asc,70,679,DP,0.319546
FB_res_peso_asc,71,703,DP,0.389707
FB_res_peso_asc,72,714,DP,0.394145
FB_res_peso_asc,73,724,DP,0.432196
FB_res_peso_asc,74,730,DP,0.415314
FB_res_peso_asc,75,738,DP,0.655663
FB_res_peso_asc,76,735,DP,0.550887
FB_res_peso_asc,77,768,DP,0.510051
FB_res_peso_asc,78,773,DP,0.376643
FB_res_peso_asc,79,786,DP,0.451011
FB_res_peso_asc,80,792,DP,0.449979
FB_res_peso_asc,81,789,DP,0.459958
FB_res_peso_asc,82,815,DP,0.537673
FB_res_peso_asc,83,829,DP,0.491927
FB_res_peso_asc,84,833,DP,0.567469
FB_res_peso_asc,85,833,DP,0.501636
FB_res_peso_asc,86,853,DP,0.613254
FB_res_peso_asc,87,867,DP,0.5305
FB_res_peso_asc,88,867,DP,0.482059
FB_res_peso_asc,89,890,DP,0.586123
FB_res_peso_asc,90,890,DP,0.556017
FB_res_peso_asc,91,905,DP,0.699114
FB_res_peso_asc,92,918,DP,0.626849
FB_res_peso_asc,93,929,DP,0.644722
FB_res_peso_asc,94,938,DP,0.656004
FB_res_peso_asc,95,950,DP,0.672074
FB_res_peso_asc,96,957,DP,0.644352
FB_res_peso_asc,97,969,DP,0.759226
FB_res_peso_asc,98,978,DP,0.656244
FB_res_peso_asc,99,987,DP,0.696329
FB_res_peso_asc,100,995,DP,0.71329
FB_res_peso_asc,101,1001,DP,0.909556
FB_res_peso_asc,102,997,DP,0.921228
FB_res_peso_asc,103,1029,DP,0.871185
FB_res_peso_asc,104,1040,DP,0.796726
FB_res_peso_asc,105,1049,DP,0.803339
FB_res_peso_asc,106,1052,DP,0.859152
FB_res_peso_asc,107,1062,DP,0.94897
FB_res_peso_asc,108,1076,DP,0.86323
FB_res_peso_asc,109,1090,DP,0.913164
FB_res_peso_asc,110,1098,DP,0.759727
FB_res_peso_asc,111,1109,DP,0.845176
FB_res_peso_asc,112,1120,DP,0.966793
FB_res_peso_asc,113,1125,DP,0.97051
FB_res_peso_asc,114,1125,DP,1.37512
FB_res_peso_asc,115,1146,DP,0.981801
FB_res_peso_asc,116,1157,DP,0.965581
FB_res_peso_asc,117,1161,DP,1.19336
FB_res_peso_asc,118,1176,DP,1.20474
FB_res_peso_asc,119,1189,DP,1.2204
FB_res_peso_asc,120,1200,DP,1.50926
FB_res_peso_asc,121,1206,DP,1.01534
FB_res_peso_asc,122,1214,DP,2.71576
FB_res_peso_asc,123,1224,DP,1.7409
FB_res_peso_asc,124,1240,DP,2.76178
FB_res_peso_asc,125,1243,DP,2.73267
FB_res_peso_asc,126,1260,DP,1.28176
FB_res_peso_asc,127,1264,DP,1.37892
