dataset,n,R,metodo,tiempo
r_cubo,5,3000,DP,0.18761
r_cubo,5,3000,BT,0.002856
r_cubo,6,3000,DP,0.129822
r_cubo,6,3000,BT,0.004078
r_cubo,7,3000,DP,0.140943
r_cubo,7,3000,BT,0.004008
r_cubo,8,3000,DP,0.130373
r_cubo,8,3000,BT,0.005209
r_cubo,9,3000,DP,0.145351
r_cubo,9,3000,BT,0.00571
r_cubo,10,3000,DP,0.147235
r_cubo,10,3000,BT,0.007665
r_cubo,11,3000,DP,0.162123
r_cubo,11,3000,BT,0.006682
r_cubo,12,3000,DP,0.166451
r_cubo,12,3000,BT,0.008045
r_cubo,13,3000,DP,0.186237
r_cubo,13,3000,BT,0.008646
r_cubo,14,3000,DP,0.190255
r_cubo,14,3000,BT,0.01065
r_cubo,15,3000,DP,0.216765
r_cubo,15,3000,BT,0.017553
r_cubo,16,3000,DP,0.235389
r_cubo,16,3000,BT,0.033683
r_cubo,17,3000,DP,0.226032
r_cubo,17,3000,BT,0.013796
r_cubo,18,3000,DP,0.250727
r_cubo,18,3000,BT,0.018384
r_cubo,19,3000,DP,0.258282
r_cubo,19,3000,BT,0.02688
r_cubo,20,3000,DP,0.267328
r_cubo,20,3000,BT,0.025658
r_cubo,21,3000,DP,0.27907
r_cubo,21,3000,BT,0.028012
r_cubo,22,3000,DP,0.290842
r_cubo,22,3000,BT,0.028984
r_cubo,23,3000,DP,0.307413
r_cubo,23,3000,BT,0.067917
r_cubo,24,3000,DP,0.33796
r_cubo,24,3000,BT,0.033973
r_cubo,25,3000,DP,0.334574
r_cubo,25,3000,BT,0.041708
r_cubo,26,3000,DP,0.360542
r_cubo,26,3000,BT,0.054743
r_cubo,27,3000,DP,0.375019
r_cubo,27,3000,BT,0.055283
r_cubo,28,3000,DP,0.393584
r_cubo,28,3000,BT,0.071453
r_cubo,29,3000,DP,0.382203
r_cubo,29,3000,BT,0.051897
r_cubo,30,3000,DP,0.38609
r_cubo,30,3000,BT,0.076062
r_cubo,31,3000,DP,0.425283
r_cubo,31,3000,BT,0.052498
r_cubo,32,3000,DP,0.424762
r_cubo,32,3000,BT,0.100137
r_cubo,33,3000,DP,0.431906
r_cubo,33,3000,BT,0.065522
r_cubo,34,3000,DP,0.459978
r_cubo,34,3000,BT,0.07509
r_cubo,35,3000,DP,0.459327
r_cubo,35,3000,BT,0.124853
r_cubo,36,3000,DP,0.473553
r_cubo,36,3000,BT,0.083616
r_cubo,37,3000,DP,0.491908
r_cubo,37,3000,BT,0.096019
r_cubo,38,3000,DP,0.490915
r_cubo,38,3000,BT,0.102461
r_cubo,39,3000,DP,0.503539
r_cubo,39,3000,BT,0.099395
r_cubo,40,3000,DP,0.485896
r_cubo,40,3000,BT,0.101549
r_cubo,41,3000,DP,0.54161
r_cubo,41,3000,BT,0.147245
r_cubo,42,3000,DP,0.554614
r_cubo,42,3000,BT,0.108092
r_cubo,43,3000,DP,0.595791
r_cubo,43,3000,BT,0.232944
r_cubo,44,3000,DP,0.635475
r_cubo,44,3000,BT,0.274612
r_cubo,45,3000,DP,0.602814
r_cubo,45,3000,BT,0.446833
r_cubo,46,3000,DP,0.600169
r_cubo,46,3000,BT,0.186899
r_cubo,47,3000,DP,0.620968
r_cubo,47,3000,BT,0.168094
r_cubo,48,3000,DP,0.673887
r_cubo,48,3000,BT,0.279632
r_cubo,49,3000,DP,0.642899
r_cubo,49,3000,BT,0.405116
r_cubo,50,3000,DP,0.649051
r_cubo,50,3000,BT,0.315077
r_cubo,51,3000,DP,0.664449
r_cubo,51,3000,BT,0.194233
r_cubo,52,3000,DP,0.712458
r_cubo,52,3000,BT,0.548833
r_cubo,53,3000,DP,0.974417
r_cubo,53,3000,BT,0.35922
r_cubo,54,3000,DP,0.6756
r_cubo,54,3000,BT,0.424912
r_cubo,55,3000,DP,0.727857
r_cubo,55,3000,BT,0.523116
r_cubo,56,3000,DP,0.751672
r_cubo,56,3000,BT,0.260736
r_cubo,57,3000,DP,0.763634
r_cubo,57,3000,BT,0.271225
r_cubo,58,3000,DP,0.760538
r_cubo,58,3000,BT,0.32711
r_cubo,59,3000,DP,0.865584
r_cubo,59,3000,BT,0.510733
r_cubo,60,3000,DP,0.788
r_cubo,60,3000,BT,0.340295
r_cubo,61,3000,DP,0.918584
r_cubo,61,3000,BT,0.340135
r_cubo,62,3000,DP,0.811062
r_cubo,62,3000,BT,0.742244
r_cubo,63,3000,DP,0.806825
r_cubo,63,3000,BT,0.350734
r_cubo,64,3000,DP,0.926388
r_cubo,64,3000,BT,0.957355
r_cubo,65,3000,DP,0.862628
r_cubo,65,3000,BT,0.46682
r_cubo,66,3000,DP,0.886433
r_cubo,66,3000,BT,0.861687
r_cubo,67,3000,DP,0.900369
r_cubo,67,3000,BT,1.01839
r_cubo,68,3000,DP,0.891102
r_cubo,68,3000,BT,0.886223
r_cubo,69,3000,DP,0.936807
r_cubo,69,3000,BT,0.68598
r_cubo,70,3000,DP,0.903835
r_cubo,70,3000,BT,0.690638
r_cubo,71,3000,DP,0.946705
r_cubo,71,3000,BT,1.13678
r_cubo,72,3000,DP,0.981841
r_cubo,72,3000,BT,0.666292
r_cubo,73,3000,DP,0.987712
r_cubo,73,3000,BT,0.918303
r_cubo,74,3000,DP,0.961352
r_cubo,74,3000,BT,0.994595
r_cubo,75,3000,DP,0.985198
r_cubo,75,3000,BT,1.31757
r_cubo,76,3000,DP,0.971462
r_cubo,76,3000,BT,0.80425
r_cubo,77,3000,DP,1.05214
r_cubo,77,3000,BT,1.18947
r_cubo,78,3000,DP,1.23634
r_cubo,78,3000,BT,1.15884
r_cubo,79,3000,DP,1.11026
r_cubo,79,3000,BT,0.613514
r_cubo,80,3000,DP,1.05791
r_cubo,80,3000,BT,1.20697
r_cubo,81,3000,DP,1.00181
r_cubo,81,3000,BT,1.26133
r_cubo,82,3000,DP,1.11677
r_cubo,82,3000,BT,0.974758
r_cubo,83,3000,DP,1.62114
r_cubo,83,3000,BT,1.15343
r_cubo,84,3000,DP,1.1911
r_cubo,84,3000,BT,1.47836
r_cubo,85,3000,DP,1.14224
r_cubo,85,3000,BT,1.38563
r_cubo,86,3000,DP,1.19036
r_cubo,86,3000,BT,1.23909
r_cubo,87,3000,DP,1.15853
r_cubo,87,3000,BT,1.07672
r_cubo,88,3000,DP,1.68258
r_cubo,88,3000,BT,1.19329
r_cubo,89,3000,DP,1.2347
r_cubo,89,3000,BT,2.2913
r_cubo,90,3000,DP,1.32001
r_cubo,90,3000,BT,1.75397
r_cubo,91,3000,DP,1.2641
r_cubo,91,3000,BT,2.11261
r_cubo,92,3000,DP,1.24532
r_cubo,92,3000,BT,1.76064
r_cubo,93,3000,DP,1.30991
r_cubo,93,3000,BT,2.53416
r_cubo,94,3000,DP,1.21608
r_cubo,94,3000,BT,2.09355
r_cubo,95,3000,DP,1.28648
r_cubo,95,3000,BT,1.52701
r_cubo,96,3000,DP,1.43411
r_cubo,96,3000,BT,1.8343
r_cubo,97,3000,DP,1.31283
r_cubo,97,3000,BT,1.98512
r_cubo,98,3000,DP,1.36859
r_cubo,98,3000,BT,2.17145
r_cubo,99,3000,DP,1.41905
r_cubo,99,3000,BT,1.11721
r_cubo,100,3000,DP,1.31793
r_cubo,100,3000,BT,3.194
r_cubo,101,3000,DP,1.37882
r_cubo,101,3000,BT,2.143
r_cubo,102,3000,DP,1.48061
r_cubo,102,3000,BT,2.22177
r_cubo,103,3000,DP,1.46088
r_cubo,103,3000,BT,2.26865
r_cubo,104,3000,DP,1.40267
r_cubo,104,3000,BT,1.81983
r_cubo,105,3000,DP,1.6696
r_cubo,105,3000,BT,2.37204
r_cubo,106,3000,DP,1.44494
r_cubo,106,3000,BT,3.15324
r_cubo,107,3000,DP,1.44966
r_cubo,107,3000,BT,2.46456
r_cubo,108,3000,DP,1.47071
r_cubo,108,3000,BT,1.89955
r_cubo,109,3000,DP,1.57063
r_cubo,109,3000,BT,3.18474
r_cubo,110,3000,DP,1.53047
r_cubo,110,3000,BT,2.35134
r_cubo,111,3000,DP,1.53791
r_cubo,111,3000,BT,3.51432
r_cubo,112,3000,DP,1.55554
r_cubo,112,3000,BT,3.52421
r_cubo,113,3000,DP,1.75694
r_cubo,113,3000,BT,4.39776
r_cubo,114,3000,DP,2.26471
r_cubo,114,3000,BT,3.3054
r_cubo,115,3000,DP,2.24383
r_cubo,115,3000,BT,2.31575
r_cubo,116,3000,DP,1.57039
r_cubo,116,3000,BT,3.63258
r_cubo,117,3000,DP,1.62928
r_cubo,117,3000,BT,3.78925
r_cubo,118,3000,DP,1.67027
r_cubo,118,3000,BT,6.26231
r_cubo,119,3000,DP,1.75419
r_cubo,119,3000,BT,3.84901
r_cubo,120,3000,DP,1.71955
r_cubo,120,3000,BT,5.09819
r_cubo,121,3000,DP,1.83424
r_cubo,121,3000,BT,6.11236
r_cubo,122,3000,DP,1.86209
r_cubo,122,3000,BT,3.98023
r_cubo,123,3000,DP,1.75605
r_cubo,123,3000,BT,4.39394
r_cubo,124,3000,DP,3.11446
r_cubo,124,3000,BT,3.80345
r_cubo,125,3000,DP,2.04902
r_cubo,125,3000,BT,6.35495
r_cubo,126,3000,DP,1.80653
r_cubo,126,3000,BT,5.1467
r_cubo,127,3000,DP,1.71703
r_cubo,127,3000,BT,3.11448
r_cubo,128,3000,DP,1.91414
r_cubo,128,3000,BT,8.1099
r_cubo,129,3000,DP,2.69769
r_cubo,129,3000,BT,5.7314
r_cubo,130,3000,DP,1.92826
r_cubo,130,3000,BT,4.95863
r_cubo,131,3000,DP,1.84885
r_cubo,131,3000,BT,4.90159
r_cubo,132,3000,DP,2.17156
r_cubo,132,3000,BT,5.0583
r_cubo,133,3000,DP,2.06738
r_cubo,133,3000,BT,4.39651
r_cubo,134,3000,DP,1.94082
r_cubo,134,3000,BT,3.53274
r_cubo,135,3000,DP,2.42482
r_cubo,135,3000,BT,9.85223
r_cubo,136,3000,DP,2.04832
r_cubo,136,3000,BT,6.57681
r_cubo,137,3000,DP,2.02592
r_cubo,137,3000,BT,6.30006
r_cubo,138,3000,DP,2.15088
r_cubo,138,3000,BT,9.39897
r_cubo,139,3000,DP,1.94752
r_cubo,139,3000,BT,6.46827
r_cubo,140,3000,DP,1.96867
r_cubo,140,3000,BT,5.42458
r_cubo,141,3000,DP,2.04205
r_cubo,141,3000,BT,6.46482
r_cubo,142,3000,DP,2.1351
r_cubo,142,3000,BT,6.74695
r_cubo,143,3000,DP,2.08864
r_cubo,143,3000,BT,8.06164
r_cubo,144,3000,DP,2.16191
r_cubo,144,3000,BT,16.6222
r_cubo,145,3000,DP,2.05618
r_cubo,145,3000,BT,6.68809
r_cubo,146,3000,DP,2.07341
r_cubo,146,3000,BT,7.75914
r_cubo,147,3000,DP,2.0755
r_cubo,147,3000,BT,8.63606
r_cubo,148,3000,DP,2.40683
r_cubo,148,3000,BT,9.2516
r_cubo,149,3000,DP,2.29175
r_cubo,149,3000,BT,7.15619
r_cubo,150,3000,DP,2.20072
r_cubo,150,3000,BT,8.84589
r_cubo,151,3000,DP,2.2333
r_cubo,151,3000,BT,6.8026
r_cubo,152,3000,DP,2.26262
r_cubo,152,3000,BT,6.5741
r_cubo,153,3000,DP,2.42864
r_cubo,153,3000,BT,7.04636
r_cubo,154,3000,DP,2.32748
r_cubo,154,3000,BT,10.2557
r_cubo,155,3000,DP,2.33845
r_cubo,155,3000,BT,14.4543
r_cubo,156,3000,DP,2.27052
r_cubo,156,3000,BT,5.81158
r_cubo,157,3000,DP,5.53019
r_cubo,157,3000,BT,12.0149
r_cubo,158,3000,DP,4.87803
r_cubo,158,3000,BT,22.5391
r_cubo,159,3000,DP,5.52838
r_cubo,159,3000,BT,9.39361
r_cubo,160,3000,DP,2.498
r_cubo,160,3000,BT,13.1719
r_cubo,161,3000,DP,2.88958
r_cubo,161,3000,BT,9.19486
r_cubo,162,3000,DP,2.53954
r_cubo,162,3000,BT,17.5114
r_cubo,163,3000,DP,5.18722
r_cubo,163,3000,BT,13.0126
r_cubo,164,3000,DP,2.37549
r_cubo,164,3000,BT,12.9767
r_cubo,165,3000,DP,2.55243
r_cubo,165,3000,BT,8.33378
r_cubo,166,3000,DP,2.42299
r_cubo,166,3000,BT,11.0976
r_cubo,167,3000,DP,2.45933
r_cubo,167,3000,BT,10.9122
r_cubo,168,3000,DP,2.43321
r_cubo,168,3000,BT,10.2512
r_cubo,169,3000,DP,3.02904
r_cubo,169,3000,BT,20.0546
r_cubo,170,3000,DP,2.73892
r_cubo,170,3000,BT,16.6081
r_cubo,171,3000,DP,2.504
r_cubo,171,3000,BT,11.1282
r_cubo,172,3000,DP,2.55803
r_cubo,172,3000,BT,13.376
r_cubo,173,3000,DP,2.63208
r_cubo,173,3000,BT,11.6339
r_cubo,174,3000,DP,2.82486
r_cubo,174,3000,BT,15.4103
r_cubo,175,3000,DP,3.26826
r_cubo,175,3000,BT,10.5865
r_cubo,176,3000,DP,2.95067
r_cubo,176,3000,BT,14.9628
r_cubo,177,3000,DP,2.80314
r_cubo,177,3000,BT,16.5494
r_cubo,178,3000,DP,2.60417
r_cubo,178,3000,BT,13.0959
r_cubo,179,3000,DP,2.80701
r_cubo,179,3000,BT,18.0211
r_cubo,180,3000,DP,2.71869
r_cubo,180,3000,BT,16.1056
r_cubo,181,3000,DP,5.57878
r_cubo,181,3000,BT,11.4786
r_cubo,182,3000,DP,2.98506
r_cubo,182,3000,BT,14.6396
r_cubo,183,3000,DP,2.66567
r_cubo,183,3000,BT,12.4333
r_cubo,184,3000,DP,2.8068
r_cubo,184,3000,BT,11.7275
r_cubo,185,3000,DP,2.85173
r_cubo,185,3000,BT,13.9492
r_cubo,186,3000,DP,2.93168
r_cubo,186,3000,BT,13.7197
