dataset,n,R,metodo,tiempo
r_cubo,0,1000,DP,0.049212
r_cubo,0,1000,BT,0.013405
r_cubo,1,8000,DP,0.741389
r_cubo,1,8000,BT,0.230569
r_cubo,2,27000,DP,3.97361
r_cubo,2,27000,BT,1.78235
r_cubo,3,64000,DP,11.5254
r_cubo,3,64000,BT,2.30664
r_cubo,4,125000,DP,33.6489
r_cubo,4,125000,BT,62.0587
r_cubo,5,216000,DP,71.99
r_cubo,5,216000,BT,152.185
r_cubo,6,343000,DP,197.331
r_cubo,6,343000,BT,945.5
r_cubo,7,512000,DP,457.799
r_cubo,7,512000,BT,6601.63
r_cubo,8,729000,DP,337.359
r_cubo,8,729000,BT,443.666
r_cubo,9,1000000,DP,1546.01
r_cubo,9,1000000,BT,51299.6
