dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,50000,FB,0.003216
FB_res_peso_asc,1,4,FB,0.003356
FB_res_peso_asc,2,17,FB,0.001743
FB_res_peso_asc,3,11,FB,0.001803
FB_res_peso_asc,4,40,FB,0.002084
FB_res_peso_asc,5,40,FB,0.002856
FB_res_peso_asc,6,51,FB,0.005691
FB_res_peso_asc,7,63,FB,0.005139
FB_res_peso_asc,8,78,FB,0.008606
FB_res_peso_asc,9,85,FB,0.020748
FB_res_peso_asc,10,100,FB,0.016
FB_res_peso_asc,11,103,FB,0.025728
FB_res_peso_asc,12,113,FB,0.04272
FB_res_peso_asc,13,130,FB,0.102521
FB_res_peso_asc,14,135,FB,0.368848
FB_res_peso_asc,15,142,FB,0.380721
FB_res_peso_asc,16,157,FB,0.650253
FB_res_peso_asc,17,156,FB,2.92181
FB_res_peso_asc,18,153,FB,7.57911
FB_res_peso_asc,19,183,FB,13.7835
FB_res_peso_asc,20,199,FB,23.4941
FB_res_peso_asc,21,197,FB,30.1006
FB_res_peso_asc,22,214,FB,41.5527
FB_res_peso_asc,23,225,FB,83.4701
FB_res_peso_asc,24,237,FB,158.661
FB_res_peso_asc,25,242,FB,323.972
FB_res_peso_asc,26,242,FB,603.491
FB_res_peso_asc,27,266,FB,1227.03
FB_res_peso_asc,28,278,FB,2447.05
FB_res_peso_asc,29,281,FB,5542.98
FB_res_peso_asc,30,281,FB,10159.6
FB_res_peso_desc,0,49994,FB,0.001633
FB_res_peso_desc,1,10,FB,0.001523
FB_res_peso_desc,2,19,FB,0.001403
FB_res_peso_desc,3,28,FB,0.003727
FB_res_peso_desc,4,25,FB,0.002635
FB_res_peso_desc,5,43,FB,0.002976
FB_res_peso_desc,6,54,FB,0.004368
FB_res_peso_desc,7,62,FB,0.006772
FB_res_peso_desc,8,76,FB,0.014327
FB_res_peso_desc,9,88,FB,0.024816
FB_res_peso_desc,10,97,FB,0.034966
FB_res_peso_desc,11,107,FB,0.03784
FB_res_peso_desc,12,110,FB,0.060082
FB_res_peso_desc,13,126,FB,0.111248
FB_res_peso_desc,14,137,FB,0.207076
FB_res_peso_desc,15,135,FB,0.729812
FB_res_peso_desc,16,157,FB,0.926518
FB_res_peso_desc,17,165,FB,1.61937
FB_res_peso_desc,18,179,FB,3.57394
FB_res_peso_desc,19,167,FB,7.34458
FB_res_peso_desc,20,193,FB,24.0804
FB_res_peso_desc,21,200,FB,19.6688
FB_res_peso_desc,22,215,FB,43.9633
FB_res_peso_desc,23,222,FB,93.9242
FB_res_peso_desc,24,231,FB,160.262
FB_res_peso_desc,25,240,FB,318.829
FB_res_peso_desc,26,247,FB,641.082
FB_res_peso_desc,27,249,FB,1297.63
FB_res_peso_desc,28,280,FB,2612.28
FB_res_peso_desc,29,284,FB,5157.11
FB_res_peso_desc,30,292,FB,10377.9
mejor-caso-bt,0,1,BT,0.001783
mejor-caso-bt,1,1,BT,0.001983
mejor-caso-bt,2,1,BT,0.002254
mejor-caso-bt,3,1,BT,0.003186
mejor-caso-bt,4,1,BT,0.003808
mejor-caso-bt,5,1,BT,0.003917
mejor-caso-bt,6,1,BT,0.004609
mejor-caso-bt,7,1,BT,0.005701
mejor-caso-bt,8,1,BT,0.005891
mejor-caso-bt,9,1,BT,0.007043
mejor-caso-bt,10,1,BT,0.008105
mejor-caso-bt,11,1,BT,0.008947
mejor-caso-bt,12,1,BT,0.010219
mejor-caso-bt,13,1,BT,0.011352
mejor-caso-bt,14,1,BT,0.010239
mejor-caso-bt,15,1,BT,0.013966
mejor-caso-bt,16,1,BT,0.015459
mejor-caso-bt,17,1,BT,0.016691
mejor-caso-bt,18,1,BT,0.017051
mejor-caso-bt,19,1,BT,0.019917
mejor-caso-bt,20,1,BT,0.020749
mejor-caso-bt,21,1,BT,0.023444
mejor-caso-bt,22,1,BT,0.024626
mejor-caso-bt,23,1,BT,0.027401
mejor-caso-bt,24,1,BT,0.038462
mejor-caso-bt,25,1,BT,0.031619
mejor-caso-bt,26,1,BT,0.034344
mejor-caso-bt,27,1,BT,0.033052
mejor-caso-bt,28,1,BT,0.034694
mejor-caso-bt,29,1,BT,0.041558
mejor-caso-bt,30,1,BT,0.044122
mejor-caso-bt,31,1,BT,0.046757
mejor-caso-bt,32,1,BT,0.049593
mejor-caso-bt,33,1,BT,0.052268
mejor-caso-bt,34,1,BT,0.054983
mejor-caso-bt,35,1,BT,0.058289
mejor-caso-bt,36,1,BT,0.059922
mejor-caso-bt,37,1,BT,0.0641
mejor-caso-bt,38,1,BT,0.059221
mejor-caso-bt,39,1,BT,0.069169
mejor-caso-bt,40,1,BT,0.068799
mejor-caso-bt,41,1,BT,0.075912
mejor-caso-bt,42,1,BT,0.108513
mejor-caso-bt,43,1,BT,0.072926
mejor-caso-bt,44,1,BT,0.086631
mejor-caso-bt,45,1,BT,0.090078
mejor-caso-bt,46,1,BT,0.093935
mejor-caso-bt,47,1,BT,0.117109
mejor-caso-bt,48,1,BT,0.090188
mejor-caso-bt,49,1,BT,0.106138
mejor-caso-bt,50,1,BT,0.109334
mejor-caso-bt,51,1,BT,0.083295
mejor-caso-bt,52,1,BT,0.120145
mejor-caso-bt,53,1,BT,0.122679
mejor-caso-bt,54,1,BT,0.127378
mejor-caso-bt,55,1,BT,0.131685
mejor-caso-bt,56,1,BT,0.138107
mejor-caso-bt,57,1,BT,0.140002
mejor-caso-bt,58,1,BT,0.14468
mejor-caso-bt,59,1,BT,0.152405
mejor-caso-bt,60,1,BT,0.135994
mejor-caso-bt,61,1,BT,0.161241
mejor-caso-bt,62,1,BT,0.14467
mejor-caso-bt,63,1,BT,0.167232
mejor-caso-bt,64,1,BT,0.174355
mejor-caso-bt,65,1,BT,0.170979
mejor-caso-bt,66,1,BT,0.184755
mejor-caso-bt,67,1,BT,0.190265
mejor-caso-bt,68,1,BT,0.195766
mejor-caso-bt,69,1,BT,0.190455
mejor-caso-bt,70,1,BT,0.206526
mejor-caso-bt,71,1,BT,0.212246
mejor-caso-bt,72,1,BT,0.217987
mejor-caso-bt,73,1,BT,0.393934
mejor-caso-bt,74,1,BT,0.211725
mejor-caso-bt,75,1,BT,0.235789
mejor-caso-bt,76,1,BT,0.227674
mejor-caso-bt,77,1,BT,0.245548
mejor-caso-bt,78,1,BT,0.250387
mejor-caso-bt,79,1,BT,0.245368
mejor-caso-bt,80,1,BT,0.266647
mejor-caso-bt,81,1,BT,0.27332
mejor-caso-bt,82,1,BT,0.279682
mejor-caso-bt,83,1,BT,0.283779
mejor-caso-bt,84,1,BT,0.293628
mejor-caso-bt,85,1,BT,0.299639
mejor-caso-bt,86,1,BT,0.306512
mejor-caso-bt,87,1,BT,0.776599
mejor-caso-bt,88,1,BT,0.31591
mejor-caso-bt,89,1,BT,0.575554
mejor-caso-bt,90,1,BT,0.483772
mejor-caso-bt,91,1,BT,0.341858
mejor-caso-bt,92,1,BT,0.442976
mejor-caso-bt,93,1,BT,0.535158
mejor-caso-bt,94,1,BT,0.36425
mejor-caso-bt,95,1,BT,0.317021
mejor-caso-bt,96,1,BT,0.363067
mejor-caso-bt,97,1,BT,0.394306
mejor-caso-bt,98,1,BT,0.399125
mejor-caso-bt,99,1,BT,0.410125
peor-caso-bt,0,1000,BT,0.00496
peor-caso-bt,1,2000,BT,0.008907
peor-caso-bt,2,3000,BT,0.013254
peor-caso-bt,3,4000,BT,0.018525
peor-caso-bt,4,5000,BT,0.024285
peor-caso-bt,5,6000,BT,0.030547
peor-caso-bt,6,7000,BT,0.038142
peor-caso-bt,7,8000,BT,0.043962
peor-caso-bt,8,9000,BT,0.051566
peor-caso-bt,9,10000,BT,0.05917
peor-caso-bt,10,11000,BT,0.068948
peor-caso-bt,11,12000,BT,0.075861
peor-caso-bt,12,13000,BT,0.080991
peor-caso-bt,13,14000,BT,0.096019
peor-caso-bt,14,15000,BT,0.10683
peor-caso-bt,15,16000,BT,0.106579
peor-caso-bt,16,17000,BT,0.127788
peor-caso-bt,17,18000,BT,0.137397
peor-caso-bt,18,19000,BT,0.148096
peor-caso-bt,19,20000,BT,0.37002
peor-caso-bt,20,21000,BT,0.17145
peor-caso-bt,21,22000,BT,0.273951
peor-caso-bt,22,23000,BT,0.19827
peor-caso-bt,23,24000,BT,0.207758
peor-caso-bt,24,25000,BT,0.222645
peor-caso-bt,25,26000,BT,0.247401
peor-caso-bt,26,27000,BT,0.258523
