dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,50000,FB,1.0
FB_res_peso_asc,1,4,FB,1.0
FB_res_peso_asc,2,17,FB,1.0
FB_res_peso_asc,3,11,FB,1.0
FB_res_peso_asc,4,40,FB,1.0
FB_res_peso_asc,5,40,FB,2.0
FB_res_peso_asc,6,51,FB,3.0
FB_res_peso_asc,7,63,FB,2.0
FB_res_peso_asc,8,78,FB,3.0
FB_res_peso_asc,9,85,FB,3.0
FB_res_peso_asc,10,100,FB,4.0
FB_res_peso_asc,11,103,FB,2.0
FB_res_peso_asc,12,113,FB,3.0
FB_res_peso_asc,13,130,FB,4.0
FB_res_peso_asc,14,135,FB,3.0
FB_res_peso_asc,15,142,FB,6.0
FB_res_peso_asc,16,157,FB,4.0
FB_res_peso_asc,17,156,FB,4.0
FB_res_peso_asc,18,153,FB,7.0
FB_res_peso_asc,19,183,FB,4.0
FB_res_peso_asc,20,199,FB,5.0
FB_res_peso_asc,21,197,FB,7.0
FB_res_peso_asc,22,214,FB,5.0
FB_res_peso_asc,23,225,FB,5.0
FB_res_peso_asc,24,237,FB,5.0
FB_res_peso_asc,25,242,FB,4.0
FB_res_peso_asc,26,242,FB,5.0
FB_res_peso_asc,27,266,FB,4.0
FB_res_peso_asc,28,278,FB,7.0
FB_res_peso_asc,29,281,FB,4.0
FB_res_peso_asc,30,281,FB,7.0
FB_res_peso_desc,0,49994,FB,1.0
FB_res_peso_desc,1,10,FB,1.0
FB_res_peso_desc,2,19,FB,0.0
FB_res_peso_desc,3,28,FB,3.0
FB_res_peso_desc,4,25,FB,1.0
FB_res_peso_desc,5,43,FB,2.0
FB_res_peso_desc,6,54,FB,2.0
FB_res_peso_desc,7,62,FB,3.0
FB_res_peso_desc,8,76,FB,4.0
FB_res_peso_desc,9,88,FB,5.0
FB_res_peso_desc,10,97,FB,4.0
FB_res_peso_desc,11,107,FB,5.0
FB_res_peso_desc,12,110,FB,3.0
FB_res_peso_desc,13,126,FB,3.0
FB_res_peso_desc,14,137,FB,2.0
FB_res_peso_desc,15,135,FB,3.0
FB_res_peso_desc,16,157,FB,5.0
FB_res_peso_desc,17,165,FB,3.0
FB_res_peso_desc,18,179,FB,6.0
FB_res_peso_desc,19,167,FB,5.0
FB_res_peso_desc,20,193,FB,4.0
FB_res_peso_desc,21,200,FB,6.0
FB_res_peso_desc,22,215,FB,3.0
FB_res_peso_desc,23,222,FB,5.0
FB_res_peso_desc,24,231,FB,5.0
FB_res_peso_desc,25,240,FB,5.0
FB_res_peso_desc,26,247,FB,5.0
FB_res_peso_desc,27,249,FB,5.0
FB_res_peso_desc,28,280,FB,7.0
FB_res_peso_desc,29,284,FB,6.0
FB_res_peso_desc,30,292,FB,4.0
