dataset,n,R,metodo,res
FB_res_peso_asc,0,99999,FB,1
FB_res_peso_asc,1,1,FB,0
FB_res_peso_asc,2,19,FB,2
FB_res_peso_desc,0,99990,FB,1
FB_res_peso_desc,1,6,FB,1
FB_res_peso_desc,2,6,FB,1
FB_res_peso_asc,0,99999,FB,1
FB_res_peso_asc,1,1,FB,0
FB_res_peso_asc,2,19,FB,2
FB_res_peso_desc,0,99990,FB,1
FB_res_peso_desc,1,6,FB,1
FB_res_peso_desc,2,6,FB,1
FB_res_peso_desc,3,26,FB,1
FB_res_peso_asc,0,99999,FB,1
FB_res_peso_asc,1,1,FB,0
FB_res_peso_asc,2,19,FB,2
FB_res_peso_desc,0,99990,FB,1
FB_res_peso_desc,1,6,FB,1
mejor-caso-bt,0,1,BT,0
mejor-caso-bt,1,1,BT,0
mejor-caso-bt,2,1,BT,0
mejor-caso-bt,3,1,BT,0
mejor-caso-bt,4,1,BT,0
mejor-caso-bt,5,1,BT,0
mejor-caso-bt,6,1,BT,0
mejor-caso-bt,7,1,BT,0
mejor-caso-bt,8,1,BT,0
mejor-caso-bt,9,1,BT,0
mejor-caso-bt,10,1,BT,0
mejor-caso-bt,11,1,BT,0
mejor-caso-bt,12,1,BT,0
mejor-caso-bt,13,1,BT,0
mejor-caso-bt,14,1,BT,0
peor-caso-bt,0,1000,BT,10
peor-caso-bt,1,2000,BT,20
peor-caso-bt,2,3000,BT,30
peor-caso-bt,3,4000,BT,40
peor-caso-bt,4,5000,BT,50
peor-caso-bt,5,6000,BT,60
peor-caso-bt,6,7000,BT,70
peor-caso-bt,7,8000,BT,80
peor-caso-bt,8,9000,BT,90
peor-caso-bt,9,10000,BT,100
peor-caso-bt,10,11000,BT,110
peor-caso-bt,11,12000,BT,120
peor-caso-bt,12,13000,BT,130
peor-caso-bt,13,14000,BT,140
peor-caso-bt,14,15000,BT,150
mejor-caso-bt,0,1,BT,0
mejor-caso-bt,1,1,BT,0
mejor-caso-bt,2,1,BT,0
mejor-caso-bt,3,1,BT,0
mejor-caso-bt,4,1,BT,0
mejor-caso-bt,5,1,BT,0
mejor-caso-bt,6,1,BT,0
mejor-caso-bt,7,1,BT,0
mejor-caso-bt,8,1,BT,0
mejor-caso-bt,9,1,BT,0
mejor-caso-bt,10,1,BT,0
mejor-caso-bt,11,1,BT,0
mejor-caso-bt,12,1,BT,0
mejor-caso-bt,13,1,BT,0
mejor-caso-bt,14,1,BT,0
peor-caso-bt,0,1000,BT,10
peor-caso-bt,1,2000,BT,20
peor-caso-bt,2,3000,BT,30
peor-caso-bt,3,4000,BT,40
peor-caso-bt,4,5000,BT,50
peor-caso-bt,5,6000,BT,60
peor-caso-bt,6,7000,BT,70
peor-caso-bt,7,8000,BT,80
peor-caso-bt,8,9000,BT,90
peor-caso-bt,9,10000,BT,100
peor-caso-bt,10,11000,BT,110
peor-caso-bt,11,12000,BT,120
peor-caso-bt,12,13000,BT,130
peor-caso-bt,13,14000,BT,140
peor-caso-bt,14,15000,BT,150
peor-caso-bt,15,16000,BT,160
peor-caso-bt,16,17000,BT,170
FB_res_peso_asc,0,99999,DP,1
FB_res_peso_asc,1,1,DP,0
FB_res_peso_asc,2,19,DP,2
FB_res_peso_asc,3,14,DP,1
FB_res_peso_asc,4,32,DP,1
FB_res_peso_asc,5,41,DP,1
FB_res_peso_asc,6,59,DP,3
FB_res_peso_asc,7,57,DP,2
FB_res_peso_asc,8,79,DP,2
FB_res_peso_asc,9,83,DP,4
FB_res_peso_desc,0,99990,DP,1
FB_res_peso_desc,1,6,DP,1
FB_res_peso_desc,2,6,DP,1
FB_res_peso_desc,3,26,DP,1
FB_res_peso_desc,4,37,DP,2
FB_res_peso_desc,5,48,DP,2
FB_res_peso_desc,6,56,DP,2
FB_res_peso_desc,7,70,DP,3
FB_res_peso_desc,8,63,DP,3
FB_res_peso_desc,9,82,DP,2
random,0,3,BT,1
random,0,3,DP,1
random,1,16,BT,2
random,1,16,DP,2
random,2,22,BT,1
random,2,22,DP,1
random,3,36,BT,1
random,3,36,DP,1
random,4,42,BT,2
random,4,42,DP,2
random,5,60,BT,2
random,5,60,DP,2
random,6,54,BT,2
random,6,54,DP,2
random,7,69,BT,2
random,7,69,DP,2
random,8,79,BT,2
random,8,79,DP,2
random,9,88,BT,2
random,9,88,DP,2
FB_res_peso_asc,0,99999,DP,1
FB_res_peso_asc,1,1,DP,0
FB_res_peso_asc,2,19,DP,2
FB_res_peso_asc,3,14,DP,1
FB_res_peso_asc,4,32,DP,1
FB_res_peso_asc,5,41,DP,1
FB_res_peso_asc,6,59,DP,3
FB_res_peso_asc,7,57,DP,2
FB_res_peso_asc,8,79,DP,2
FB_res_peso_asc,9,83,DP,4
FB_res_peso_desc,0,99990,DP,1
FB_res_peso_desc,1,6,DP,1
FB_res_peso_desc,2,6,DP,1
FB_res_peso_desc,3,26,DP,1
FB_res_peso_desc,4,37,DP,2
FB_res_peso_desc,5,48,DP,2
FB_res_peso_desc,6,56,DP,2
FB_res_peso_desc,7,70,DP,3
FB_res_peso_desc,8,63,DP,3
FB_res_peso_desc,9,82,DP,2
random,0,3,BT,1
random,0,3,DP,1
random,1,16,BT,2
random,1,16,DP,2
random,2,22,BT,1
random,2,22,DP,1
random,3,36,BT,1
random,3,36,DP,1
random,4,42,BT,2
random,4,42,DP,2
random,5,60,BT,2
random,5,60,DP,2
random,6,54,BT,2
random,6,54,DP,2
random,7,69,BT,2
random,7,69,DP,2
random,8,79,BT,2
random,8,79,DP,2
random,9,88,BT,2
random,9,88,DP,2
random,10,102,BT,2
random,10,102,DP,2
random,11,119,BT,2
random,11,119,DP,2
random,12,130,BT,4
random,12,130,DP,4
random,13,140,BT,3
random,13,140,DP,3
random,14,150,BT,5
random,14,150,DP,5
FB_res_peso_asc,0,99999,DP,1
FB_res_peso_asc,1,1,DP,0
FB_res_peso_asc,2,19,DP,2
FB_res_peso_asc,3,14,DP,1
FB_res_peso_asc,4,32,DP,1
FB_res_peso_asc,5,41,DP,1
FB_res_peso_asc,6,59,DP,3
FB_res_peso_asc,7,57,DP,2
FB_res_peso_asc,8,79,DP,2
FB_res_peso_asc,9,83,DP,4
FB_res_peso_desc,0,99990,DP,1
FB_res_peso_desc,1,6,DP,1
FB_res_peso_desc,2,6,DP,1
FB_res_peso_desc,3,26,DP,1
FB_res_peso_desc,4,37,DP,2
FB_res_peso_desc,5,48,DP,2
FB_res_peso_desc,6,56,DP,2
FB_res_peso_desc,7,70,DP,3
FB_res_peso_desc,8,63,DP,3
FB_res_peso_desc,9,82,DP,2
random,0,3,BT,1
random,0,3,DP,1
random,1,16,BT,2
random,1,16,DP,2
random,2,22,BT,1
random,2,22,DP,1
random,3,36,BT,1
random,3,36,DP,1
random,4,42,BT,2
random,4,42,DP,2
random,5,60,BT,2
random,5,60,DP,2
random,6,54,BT,2
random,6,54,DP,2
random,7,69,BT,2
random,7,69,DP,2
random,8,79,BT,2
random,8,79,DP,2
random,9,88,BT,2
random,9,88,DP,2
random,10,102,BT,2
random,10,102,DP,2
random,11,119,BT,2
random,11,119,DP,2
random,12,130,BT,4
random,12,130,DP,4
random,13,140,BT,3
random,13,140,DP,3
random,14,150,BT,5
random,14,150,DP,5
random,15,153,BT,5
random,15,153,DP,4
