dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99997,FB,0.001403
FB_res_peso_asc,1,7,FB,0.001843
FB_res_peso_asc,2,18,FB,0.002815
FB_res_peso_asc,3,9,FB,0.001522
FB_res_peso_asc,4,37,FB,0.002785
FB_res_peso_asc,5,46,FB,0.006512
FB_res_peso_asc,6,24,FB,0.003356
FB_res_peso_asc,7,69,FB,0.007124
FB_res_peso_asc,8,77,FB,0.008045
FB_res_peso_asc,9,88,FB,0.011461
FB_res_peso_asc,10,96,FB,0.017923
FB_res_peso_asc,11,106,FB,0.040395
FB_res_peso_asc,12,96,FB,0.057857
FB_res_peso_asc,13,129,FB,0.148827
FB_res_peso_asc,14,114,FB,0.279751
FB_res_peso_asc,15,131,FB,0.458684
FB_res_peso_asc,16,152,FB,0.887753
FB_res_peso_asc,17,167,FB,1.77277
FB_res_peso_asc,18,146,FB,2.86229
FB_res_peso_asc,19,181,FB,5.75943
FB_res_peso_asc,20,195,FB,10.7421
FB_res_peso_asc,21,209,FB,33.638
FB_res_peso_asc,22,217,FB,52.0803
FB_res_peso_asc,23,229,FB,85.932
FB_res_peso_asc,24,230,FB,189.946
FB_res_peso_asc,25,234,FB,362.456
FB_res_peso_asc,26,260,FB,762.452
FB_res_peso_asc,27,267,FB,1504.24
FB_res_peso_asc,28,272,FB,3122.73
FB_res_peso_asc,29,278,FB,6108.32
FB_res_peso_asc,30,289,FB,11273.0
FB_res_peso_desc,0,99999,FB,0.001883
FB_res_peso_desc,1,3,FB,0.001713
FB_res_peso_desc,2,19,FB,0.001973
FB_res_peso_desc,3,24,FB,0.002054
FB_res_peso_desc,4,40,FB,0.003516
FB_res_peso_desc,5,33,FB,0.002705
FB_res_peso_desc,6,60,FB,0.007524
FB_res_peso_desc,7,54,FB,0.004228
FB_res_peso_desc,8,70,FB,0.00532
FB_res_peso_desc,9,85,FB,0.012203
FB_res_peso_desc,10,96,FB,0.028182
FB_res_peso_desc,11,101,FB,0.034754
FB_res_peso_desc,12,113,FB,0.133609
FB_res_peso_desc,13,118,FB,0.147084
FB_res_peso_desc,14,127,FB,0.228465
FB_res_peso_desc,15,143,FB,0.48848
FB_res_peso_desc,16,155,FB,0.675508
FB_res_peso_desc,17,146,FB,1.35394
FB_res_peso_desc,18,179,FB,2.91624
FB_res_peso_desc,19,147,FB,5.55721
FB_res_peso_desc,20,198,FB,11.4571
FB_res_peso_desc,21,208,FB,24.326
FB_res_peso_desc,22,211,FB,43.5915
FB_res_peso_desc,23,221,FB,99.1224
FB_res_peso_desc,24,236,FB,206.375
FB_res_peso_desc,25,227,FB,368.008
FB_res_peso_desc,26,260,FB,702.69
FB_res_peso_desc,27,256,FB,1399.56
FB_res_peso_desc,28,276,FB,2904.66
FB_res_peso_desc,29,273,FB,5585.42
FB_res_peso_desc,30,288,FB,11370.4
random,10,96,DP,0.017322
random,20,149,DP,0.024576
random,30,285,DP,0.104495
random,40,394,DP,0.216433
random,50,485,DP,0.319785
random,60,583,DP,0.220361
random,70,699,DP,0.498639
random,80,777,DP,0.869108
random,90,887,DP,0.545285
random,100,988,DP,0.729538
random,110,1075,DP,0.878686
random,120,1169,DP,0.936684
random,130,1291,DP,1.14754
random,140,1383,DP,1.36097
random,150,1500,DP,1.86035
random,160,1594,DP,1.71641
random,170,1666,DP,2.52425
random,180,1794,DP,6.12341
random,190,1891,DP,2.6802
random,200,1970,DP,4.10564
random,210,2100,DP,3.47559
random,220,2192,DP,10.5422
random,230,2277,DP,10.0894
random,240,2381,DP,5.12182
random,250,2478,DP,8.69839
random,260,2594,DP,14.6571
random,270,2700,DP,8.00828
random,280,2797,DP,7.81008
random,290,2894,DP,15.3654
random,300,2997,DP,13.2583
random,310,3088,DP,21.0698
random,320,3199,DP,26.1707
random,330,3299,DP,23.0785
random,340,3395,DP,13.3402
random,350,3496,DP,21.0225
random,360,3594,DP,12.7945
random,370,3699,DP,16.1365
random,380,3797,DP,13.8653
random,390,3896,DP,33.5139
random,400,3982,DP,38.7188
random,410,4098,DP,22.4626
random,420,4193,DP,23.5748
random,430,4289,DP,18.1602
random,440,4398,DP,23.1791
random,450,4498,DP,20.9106
random,460,4586,DP,40.1936
random,470,4696,DP,26.1429
random,480,4783,DP,28.3045
random,490,4891,DP,35.2691
random,500,5000,DP,32.1036
random,510,5100,DP,40.7506
random,520,5188,DP,47.0258
random,530,5300,DP,36.5772
random,540,5386,DP,34.6896
random,550,5481,DP,41.0529
random,560,5587,DP,37.8355
random,570,5681,DP,44.5436
random,580,5764,DP,44.993
random,590,5884,DP,49.4319
random,600,5993,DP,61.3154
random,610,6089,DP,62.38
random,620,6193,DP,60.3052
random,630,6296,DP,46.6596
random,640,6398,DP,67.5388
random,650,6487,DP,57.8135
random,660,6598,DP,64.3955
random,670,6694,DP,65.2864
random,680,6776,DP,59.487
random,690,6891,DP,63.6151
random,700,6971,DP,64.0501
random,710,7091,DP,67.4984
random,720,7200,DP,71.6701
random,730,7296,DP,81.7396
