dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99999,DP,1.18825
FB_res_peso_asc,1,1,DP,0.002214
FB_res_peso_asc,2,19,DP,0.002344
FB_res_peso_asc,3,14,DP,0.003106
FB_res_peso_asc,4,32,DP,0.002826
FB_res_peso_asc,5,41,DP,0.003016
FB_res_peso_asc,6,59,DP,0.004037
FB_res_peso_asc,7,57,DP,0.004679
FB_res_peso_asc,8,79,DP,0.007163
FB_res_peso_asc,9,83,DP,0.008005
FB_res_peso_asc,10,92,DP,0.007484
FB_res_peso_asc,11,98,DP,0.009107
FB_res_peso_asc,12,118,DP,0.010359
FB_res_peso_asc,13,124,DP,0.012834
FB_res_peso_asc,14,139,DP,0.016622
FB_res_peso_asc,15,145,DP,0.014357
FB_res_peso_asc,16,146,DP,0.016431
FB_res_peso_asc,17,162,DP,0.017893
FB_res_peso_asc,18,171,DP,0.019677
FB_res_peso_asc,19,187,DP,0.022532
FB_res_peso_asc,20,194,DP,0.02692
FB_res_peso_asc,21,198,DP,0.02677
FB_res_peso_asc,22,203,DP,0.030267
FB_res_peso_asc,23,222,DP,0.03192
FB_res_peso_asc,24,227,DP,0.035135
FB_res_peso_asc,25,240,DP,0.041879
FB_res_peso_asc,26,243,DP,0.044513
FB_res_peso_asc,27,259,DP,0.046698
FB_res_peso_asc,28,273,DP,0.044093
FB_res_peso_desc,0,99990,DP,0.824082
FB_res_peso_desc,1,6,DP,0.001913
FB_res_peso_desc,2,6,DP,0.002194
FB_res_peso_desc,3,26,DP,0.002514
FB_res_peso_desc,4,37,DP,0.002855
FB_res_peso_desc,5,48,DP,0.003457
FB_res_peso_desc,6,56,DP,0.004107
FB_res_peso_desc,7,70,DP,0.004729
FB_res_peso_desc,8,63,DP,0.004268
FB_res_peso_desc,9,82,DP,0.007204
FB_res_peso_desc,10,95,DP,0.007554
FB_res_peso_desc,11,105,DP,0.008526
FB_res_peso_desc,12,111,DP,0.009408
FB_res_peso_desc,13,123,DP,0.011982
FB_res_peso_desc,14,106,DP,0.011862
FB_res_peso_desc,15,143,DP,0.015088
FB_res_peso_desc,16,158,DP,0.018604
FB_res_peso_desc,17,169,DP,0.017363
FB_res_peso_desc,18,174,DP,0.020718
FB_res_peso_desc,19,184,DP,0.028323
FB_res_peso_desc,20,180,DP,0.026449
FB_res_peso_desc,21,196,DP,0.027382
FB_res_peso_desc,22,215,DP,0.028133
FB_res_peso_desc,23,227,DP,0.0802
FB_res_peso_desc,24,237,DP,0.049342
FB_res_peso_desc,25,243,DP,0.035747
FB_res_peso_desc,26,260,DP,0.043371
FB_res_peso_desc,27,270,DP,0.044784
FB_res_peso_desc,28,267,DP,0.044924
random,0,3,BT,0.001714
random,0,3,DP,0.001923
random,1,16,BT,0.002374
random,1,16,DP,0.002154
random,2,22,BT,0.002785
random,2,22,DP,0.002475
random,3,36,BT,0.003426
random,3,36,DP,0.002755
random,4,42,BT,0.005751
random,4,42,DP,0.004919
random,5,60,BT,0.011181
random,5,60,DP,0.003827
random,6,54,BT,0.00496
random,6,54,DP,0.008155
random,7,69,BT,0.005791
random,7,69,DP,0.004358
random,8,79,BT,0.012884
random,8,79,DP,0.006813
random,9,88,BT,0.012023
random,9,88,DP,0.014778
random,10,102,BT,0.055704
random,10,102,DP,0.008606
random,11,119,BT,0.025798
random,11,119,DP,0.008957
random,12,130,BT,0.038583
random,12,130,DP,0.011331
random,13,140,BT,0.028152
random,13,140,DP,0.012473
random,14,150,BT,0.161021
random,14,150,DP,0.016341
random,15,153,BT,0.228027
random,15,153,DP,0.023805
random,16,163,BT,0.05892
random,16,163,DP,0.017082
random,17,161,BT,0.077024
random,17,161,DP,0.017773
random,18,187,BT,0.386614
random,18,187,DP,0.022963
random,19,200,BT,0.183223
random,19,200,DP,0.025087
random,20,194,BT,0.151253
random,20,194,DP,0.024516
random,21,217,BT,0.211085
random,21,217,DP,0.027671
random,22,225,BT,0.193803
random,22,225,DP,0.030658
random,23,234,BT,0.351929
random,23,234,DP,0.033112
random,24,238,BT,0.565909
random,24,238,DP,0.040305
random,25,233,BT,0.328965
random,25,233,DP,0.073808
random,26,267,BT,0.354012
random,26,267,DP,0.040585
random,27,273,BT,0.412562
random,27,273,DP,0.06396
random,28,288,BT,0.715829
random,28,288,DP,0.072044
