dataset,n,R,metodo,tiempo
mejor-caso-bt,0,1,BT,0.003617
mejor-caso-bt,1,1,BT,0.004859
mejor-caso-bt,2,1,BT,0.00503
mejor-caso-bt,3,1,BT,0.006412
mejor-caso-bt,4,1,BT,0.007694
mejor-caso-bt,5,1,BT,0.009287
mejor-caso-bt,6,1,BT,0.01084
mejor-caso-bt,7,1,BT,0.014096
mejor-caso-bt,8,1,BT,0.01619
mejor-caso-bt,9,1,BT,0.018634
mejor-caso-bt,10,1,BT,0.020849
mejor-caso-bt,11,1,BT,0.023363
mejor-caso-bt,12,1,BT,0.025938
mejor-caso-bt,13,1,BT,0.028744
mejor-caso-bt,14,1,BT,0.030857
mejor-caso-bt,15,1,BT,0.034354
mejor-caso-bt,16,1,BT,0.038352
mejor-caso-bt,17,1,BT,0.0431
mejor-caso-bt,18,1,BT,0.045525
mejor-caso-bt,19,1,BT,0.049031
mejor-caso-bt,20,1,BT,0.05324
mejor-caso-bt,21,1,BT,0.055895
mejor-caso-bt,22,1,BT,0.069951
mejor-caso-bt,23,1,BT,0.063899
mejor-caso-bt,24,1,BT,0.067677
mejor-caso-bt,25,1,BT,0.078597
mejor-caso-bt,26,1,BT,0.08534
mejor-caso-bt,27,1,BT,0.082254
mejor-caso-bt,28,1,BT,0.089928
mejor-caso-bt,29,1,BT,0.091521
mejor-caso-bt,30,1,BT,0.094977
mejor-caso-bt,31,1,BT,0.10172
mejor-caso-bt,32,1,BT,0.097593
mejor-caso-bt,33,1,BT,0.099747
mejor-caso-bt,34,1,BT,0.116127
mejor-caso-bt,35,1,BT,0.115105
mejor-caso-bt,36,1,BT,0.165048
mejor-caso-bt,37,1,BT,0.192149
mejor-caso-bt,38,1,BT,0.211184
mejor-caso-bt,39,1,BT,0.129812
mejor-caso-bt,40,1,BT,0.151332
mejor-caso-bt,41,1,BT,0.158075
mejor-caso-bt,42,1,BT,0.166732
mejor-caso-bt,43,1,BT,0.258263
mejor-caso-bt,44,1,BT,0.239097
mejor-caso-bt,45,1,BT,0.164588
mejor-caso-bt,46,1,BT,0.194223
mejor-caso-bt,47,1,BT,0.20361
mejor-caso-bt,48,1,BT,0.207969
mejor-caso-bt,49,1,BT,0.186969
mejor-caso-bt,50,1,BT,0.224379
mejor-caso-bt,51,1,BT,0.228938
mejor-caso-bt,52,1,BT,0.247933
mejor-caso-bt,53,1,BT,0.247543
mejor-caso-bt,54,1,BT,0.219621
mejor-caso-bt,55,1,BT,0.270856
mejor-caso-bt,56,1,BT,0.274723
mejor-caso-bt,57,1,BT,0.280184
mejor-caso-bt,58,1,BT,0.447827
mejor-caso-bt,59,1,BT,0.387615
mejor-caso-bt,60,1,BT,0.454129
mejor-caso-bt,61,1,BT,0.397212
mejor-caso-bt,62,1,BT,0.41179
mejor-caso-bt,63,1,BT,0.427589
mejor-caso-bt,64,1,BT,0.391281
mejor-caso-bt,65,1,BT,0.448719
mejor-caso-bt,66,1,BT,0.458136
mejor-caso-bt,67,1,BT,0.480658
mejor-caso-bt,68,1,BT,0.377916
mejor-caso-bt,69,1,BT,0.412401
mejor-caso-bt,70,1,BT,0.345255
mejor-caso-bt,71,1,BT,0.426888
mejor-caso-bt,72,1,BT,0.421228
mejor-caso-bt,73,1,BT,0.431416
mejor-caso-bt,74,1,BT,0.672106
mejor-caso-bt,75,1,BT,0.812438
mejor-caso-bt,76,1,BT,0.472973
mejor-caso-bt,77,1,BT,0.517197
mejor-caso-bt,78,1,BT,0.512298
mejor-caso-bt,79,1,BT,0.509643
mejor-caso-bt,80,1,BT,0.515353
mejor-caso-bt,81,1,BT,0.539649
mejor-caso-bt,82,1,BT,0.540721
mejor-caso-bt,83,1,BT,0.540881
mejor-caso-bt,84,1,BT,0.552373
mejor-caso-bt,85,1,BT,0.594792
mejor-caso-bt,86,1,BT,0.592687
mejor-caso-bt,87,1,BT,0.597997
mejor-caso-bt,88,1,BT,1.01265
mejor-caso-bt,89,1,BT,1.2898
mejor-caso-bt,90,1,BT,0.643132
mejor-caso-bt,91,1,BT,0.666686
mejor-caso-bt,92,1,BT,0.59914
mejor-caso-bt,93,1,BT,0.724384
mejor-caso-bt,94,1,BT,0.717611
mejor-caso-bt,95,1,BT,0.692334
mejor-caso-bt,96,1,BT,0.711409
mejor-caso-bt,97,1,BT,0.760522
mejor-caso-bt,98,1,BT,0.778465
mejor-caso-bt,99,1,BT,0.763968
mejor-caso-bt,100,1,BT,0.790417
mejor-caso-bt,101,1,BT,0.796929
mejor-caso-bt,102,1,BT,0.981915
mejor-caso-bt,103,1,BT,0.819191
mejor-caso-bt,104,1,BT,0.685721
mejor-caso-bt,105,1,BT,0.696231
mejor-caso-bt,106,1,BT,0.850099
mejor-caso-bt,107,1,BT,0.865607
mejor-caso-bt,108,1,BT,0.755993
mejor-caso-bt,109,1,BT,0.750843
mejor-caso-bt,110,1,BT,0.992815
mejor-caso-bt,111,1,BT,0.925049
mejor-caso-bt,112,1,BT,1.41385
mejor-caso-bt,113,1,BT,0.955336
mejor-caso-bt,114,1,BT,0.992445
mejor-caso-bt,115,1,BT,1.01111
mejor-caso-bt,116,1,BT,1.03519
mejor-caso-bt,117,1,BT,1.00836
mejor-caso-bt,118,1,BT,1.07452
mejor-caso-bt,119,1,BT,1.07839
mejor-caso-bt,120,1,BT,1.14458
mejor-caso-bt,121,1,BT,1.12079
mejor-caso-bt,122,1,BT,1.14336
mejor-caso-bt,123,1,BT,1.16481
mejor-caso-bt,124,1,BT,1.13717
mejor-caso-bt,125,1,BT,1.06422
mejor-caso-bt,126,1,BT,1.32708
mejor-caso-bt,127,1,BT,1.18716
mejor-caso-bt,128,1,BT,1.02639
mejor-caso-bt,129,1,BT,1.2836
mejor-caso-bt,130,1,BT,1.06034
mejor-caso-bt,131,1,BT,1.04877
mejor-caso-bt,132,1,BT,1.34983
mejor-caso-bt,133,1,BT,1.37706
mejor-caso-bt,134,1,BT,1.38091
mejor-caso-bt,135,1,BT,1.35355
mejor-caso-bt,136,1,BT,1.37959
mejor-caso-bt,137,1,BT,1.30454
mejor-caso-bt,138,1,BT,1.73441
mejor-caso-bt,139,1,BT,1.42256
mejor-caso-bt,140,1,BT,1.88477
mejor-caso-bt,141,1,BT,1.50428
mejor-caso-bt,142,1,BT,1.2688
mejor-caso-bt,143,1,BT,1.51172
mejor-caso-bt,144,1,BT,1.32803
mejor-caso-bt,145,1,BT,1.50523
mejor-caso-bt,146,1,BT,1.69687
mejor-caso-bt,147,1,BT,1.551
mejor-caso-bt,148,1,BT,1.35867
mejor-caso-bt,149,1,BT,1.66105
peor-caso-bt,0,1000,BT,0.023554
peor-caso-bt,1,2000,BT,0.103063
peor-caso-bt,2,3000,BT,0.237244
peor-caso-bt,3,4000,BT,0.530312
peor-caso-bt,4,5000,BT,1.0573
peor-caso-bt,5,6000,BT,1.3626
peor-caso-bt,6,7000,BT,1.99216
peor-caso-bt,7,8000,BT,2.73673
peor-caso-bt,8,9000,BT,3.68418
peor-caso-bt,9,10000,BT,10.8924
peor-caso-bt,10,11000,BT,5.65308
peor-caso-bt,11,12000,BT,7.55475
peor-caso-bt,12,13000,BT,8.49336
peor-caso-bt,13,14000,BT,11.4886
peor-caso-bt,14,15000,BT,13.388
peor-caso-bt,15,16000,BT,15.6507
peor-caso-bt,16,17000,BT,17.5073
peor-caso-bt,17,18000,BT,20.2941
peor-caso-bt,18,19000,BT,22.5174
peor-caso-bt,19,20000,BT,25.5682
peor-caso-bt,20,21000,BT,31.947
peor-caso-bt,21,22000,BT,33.758
peor-caso-bt,22,23000,BT,44.8673
peor-caso-bt,23,24000,BT,46.2071
peor-caso-bt,24,25000,BT,45.9248
peor-caso-bt,25,26000,BT,55.2325
peor-caso-bt,26,27000,BT,56.6282
peor-caso-bt,27,28000,BT,62.1097
peor-caso-bt,28,29000,BT,66.8142
peor-caso-bt,29,30000,BT,74.8826
peor-caso-bt,30,31000,BT,78.5593
peor-caso-bt,31,32000,BT,87.3346
peor-caso-bt,32,33000,BT,101.458
peor-caso-bt,33,34000,BT,103.735
peor-caso-bt,34,35000,BT,113.115
peor-caso-bt,35,36000,BT,127.038
peor-caso-bt,36,37000,BT,125.45
peor-caso-bt,37,38000,BT,152.973
peor-caso-bt,38,39000,BT,148.893
peor-caso-bt,39,40000,BT,146.209
peor-caso-bt,40,41000,BT,169.473
peor-caso-bt,41,42000,BT,174.323
peor-caso-bt,42,43000,BT,190.189
peor-caso-bt,43,44000,BT,213.662
peor-caso-bt,44,45000,BT,232.558
peor-caso-bt,45,46000,BT,246.323
peor-caso-bt,46,47000,BT,250.861
peor-caso-bt,47,48000,BT,250.82
peor-caso-bt,48,49000,BT,285.83
peor-caso-bt,49,50000,BT,284.533
peor-caso-bt,50,51000,BT,324.139
peor-caso-bt,51,52000,BT,315.668
peor-caso-bt,52,53000,BT,339.806
peor-caso-bt,53,54000,BT,356.965
peor-caso-bt,54,55000,BT,372.958
peor-caso-bt,55,56000,BT,400.406
peor-caso-bt,56,57000,BT,390.305
peor-caso-bt,57,58000,BT,422.857
peor-caso-bt,58,59000,BT,438.823
peor-caso-bt,59,60000,BT,438.874
peor-caso-bt,60,61000,BT,486.103
peor-caso-bt,61,62000,BT,522.806
peor-caso-bt,62,63000,BT,526.114
peor-caso-bt,63,64000,BT,560.466
peor-caso-bt,64,65000,BT,570.62
peor-caso-bt,65,66000,BT,591.07
peor-caso-bt,66,67000,BT,651.033
peor-caso-bt,67,68000,BT,677.829
peor-caso-bt,68,69000,BT,682.498
peor-caso-bt,69,70000,BT,713.848
peor-caso-bt,70,71000,BT,730.838
peor-caso-bt,71,72000,BT,755.193
peor-caso-bt,72,73000,BT,796.263
peor-caso-bt,73,74000,BT,826.847
peor-caso-bt,74,75000,BT,843.395
peor-caso-bt,75,76000,BT,891.519
peor-caso-bt,76,77000,BT,928.107
peor-caso-bt,77,78000,BT,922.787
peor-caso-bt,78,79000,BT,988.282
peor-caso-bt,79,80000,BT,1046.21
peor-caso-bt,80,81000,BT,1059.48
peor-caso-bt,81,82000,BT,1094.26
peor-caso-bt,82,83000,BT,1155.58
peor-caso-bt,83,84000,BT,1168.93
peor-caso-bt,84,85000,BT,1178.69
peor-caso-bt,85,86000,BT,1218.64
peor-caso-bt,86,87000,BT,1316.25
peor-caso-bt,87,88000,BT,1324.12
peor-caso-bt,88,89000,BT,1362.28
peor-caso-bt,89,90000,BT,1412.79
peor-caso-bt,90,91000,BT,1436.6
peor-caso-bt,91,92000,BT,1518.67
