dataset,n,R,metodo,tiempo
dinamica,1000,1000,DP,14.427
dinamica,1000,1500,DP,20.1793
dinamica,1000,2000,DP,29.3251
dinamica,1000,2500,DP,39.3793
dinamica,1000,3000,DP,47.4429
dinamica,1000,3500,DP,54.7706
dinamica,1000,4000,DP,55.5396
dinamica,1000,4500,DP,69.4985
dinamica,1000,5000,DP,84.5247
dinamica,1000,5500,DP,84.7081
dinamica,1000,6000,DP,101.059
dinamica,1000,6500,DP,106.156
dinamica,1000,7000,DP,113.623
dinamica,1000,7500,DP,129.399
dinamica,1500,1000,DP,22.0155
dinamica,1500,1500,DP,32.1277
dinamica,1500,2000,DP,52.5832
dinamica,1500,2500,DP,54.492
dinamica,1500,3000,DP,70.8018
dinamica,1500,3500,DP,81.7045
dinamica,1500,4000,DP,93.9778
dinamica,1500,4500,DP,114.518
dinamica,1500,5000,DP,133.424
dinamica,1500,5500,DP,131.304
dinamica,1500,6000,DP,159.627
dinamica,1500,6500,DP,176.088
dinamica,1500,7000,DP,172.15
dinamica,1500,7500,DP,198.533
dinamica,2000,1000,DP,32.4588
dinamica,2000,1500,DP,44.4119
dinamica,2000,2000,DP,65.3699
dinamica,2000,2500,DP,89.3383
dinamica,2000,3000,DP,103.024
dinamica,2000,3500,DP,115.783
dinamica,2000,4000,DP,129.937
dinamica,2000,4500,DP,154.658
dinamica,2000,5000,DP,188.885
dinamica,2000,5500,DP,217.731
dinamica,2000,6000,DP,237.54
dinamica,2000,6500,DP,230.744
dinamica,2000,7000,DP,235.625
dinamica,2000,7500,DP,249.295
dinamica,2500,1000,DP,40.534
dinamica,2500,1500,DP,63.5831
dinamica,2500,2000,DP,82.7173
dinamica,2500,2500,DP,110.449
dinamica,2500,3000,DP,131.329
dinamica,2500,3500,DP,165.598
dinamica,2500,4000,DP,180.041
dinamica,2500,4500,DP,233.271
dinamica,2500,5000,DP,231.743
dinamica,2500,5500,DP,251.631
dinamica,2500,6000,DP,290.658
dinamica,2500,6500,DP,323.343
