dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99999,BT-F,0.002224
FB_res_peso_asc,1,1,BT-F,0.001653
FB_res_peso_asc,2,19,BT-F,0.004008
FB_res_peso_asc,3,14,BT-F,0.002264
FB_res_peso_asc,4,32,BT-F,0.002675
FB_res_peso_asc,5,41,BT-F,0.003226
FB_res_peso_asc,6,59,BT-F,0.011732
FB_res_peso_asc,7,57,BT-F,0.009458
FB_res_peso_asc,8,79,BT-F,0.013215
FB_res_peso_asc,9,83,BT-F,0.032571
FB_res_peso_asc,10,92,BT-F,0.019967
FB_res_peso_asc,11,98,BT-F,0.047458
FB_res_peso_asc,12,118,BT-F,0.009388
FB_res_peso_asc,13,124,BT-F,0.06487
FB_res_peso_asc,14,139,BT-F,0.227241
FB_res_peso_asc,15,145,BT-F,0.086511
FB_res_peso_asc,16,146,BT-F,0.056474
FB_res_peso_asc,17,162,BT-F,0.056956
FB_res_peso_asc,18,171,BT-F,0.116246
FB_res_peso_asc,19,187,BT-F,0.174614
FB_res_peso_asc,20,194,BT-F,0.335743
FB_res_peso_asc,21,198,BT-F,0.212795
FB_res_peso_asc,22,203,BT-F,0.375817
FB_res_peso_asc,23,222,BT-F,0.160487
FB_res_peso_asc,24,227,BT-F,0.359056
FB_res_peso_asc,25,240,BT-F,0.49592
FB_res_peso_asc,26,243,BT-F,0.752015
FB_res_peso_asc,27,259,BT-F,0.450936
FB_res_peso_asc,28,273,BT-F,0.376479
FB_res_peso_asc,29,290,BT-F,0.542737
FB_res_peso_asc,30,295,BT-F,1.43613
FB_res_peso_asc,31,299,BT-F,7.78101
FB_res_peso_asc,32,310,BT-F,0.88456
FB_res_peso_asc,33,251,BT-F,3.17805
FB_res_peso_asc,34,327,BT-F,2.90697
FB_res_peso_asc,35,320,BT-F,0.853894
FB_res_peso_asc,36,342,BT-F,5.62518
FB_res_peso_asc,37,363,BT-F,1.69341
FB_res_peso_asc,38,372,BT-F,2.53529
FB_res_peso_asc,39,390,BT-F,2.83424
FB_res_peso_asc,40,382,BT-F,5.15447
FB_res_peso_asc,41,407,BT-F,23.2258
FB_res_peso_asc,42,397,BT-F,1.81671
FB_res_peso_asc,43,423,BT-F,12.9642
FB_res_peso_asc,44,439,BT-F,11.5709
FB_res_peso_asc,45,450,BT-F,27.1583
FB_res_peso_asc,46,452,BT-F,3.89834
FB_res_peso_asc,47,465,BT-F,27.1706
FB_res_peso_asc,48,476,BT-F,25.7087
FB_res_peso_asc,49,489,BT-F,9.19772
FB_res_peso_asc,50,486,BT-F,16.4245
FB_res_peso_asc,51,510,BT-F,25.3797
FB_res_peso_asc,52,504,BT-F,65.5461
FB_res_peso_asc,53,530,BT-F,12.7318
FB_res_peso_asc,54,534,BT-F,135.146
FB_res_peso_asc,55,540,BT-F,121.052
FB_res_peso_asc,56,559,BT-F,278.556
FB_res_peso_asc,57,569,BT-F,65.7825
