dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99999,BT,0.002084
FB_res_peso_asc,1,1,BT,0.001543
FB_res_peso_asc,2,19,BT,0.002385
FB_res_peso_asc,3,14,BT,0.002284
FB_res_peso_asc,4,32,BT,0.002094
FB_res_peso_asc,5,41,BT,0.002504
FB_res_peso_asc,6,59,BT,0.006973
FB_res_peso_asc,7,57,BT,0.007344
FB_res_peso_asc,8,79,BT,0.009308
FB_res_peso_asc,9,83,BT,0.012744
FB_res_peso_asc,10,92,BT,0.013255
FB_res_peso_asc,11,98,BT,0.025328
FB_res_peso_asc,12,118,BT,0.008475
FB_res_peso_asc,13,124,BT,0.030326
FB_res_peso_asc,14,139,BT,0.08619
FB_res_peso_asc,15,145,BT,0.055003
FB_res_peso_asc,16,146,BT,0.034023
FB_res_peso_asc,17,162,BT,0.0591
FB_res_peso_asc,18,171,BT,0.04301
FB_res_peso_asc,19,187,BT,0.110546
FB_res_peso_asc,20,194,BT,0.117018
FB_res_peso_asc,21,198,BT,0.135132
FB_res_peso_asc,22,203,BT,0.178924
FB_res_peso_asc,23,222,BT,0.094867
FB_res_peso_asc,24,227,BT,0.163164
FB_res_peso_asc,25,240,BT,0.194032
FB_res_peso_asc,26,243,BT,0.277658
FB_res_peso_asc,27,259,BT,0.286535
FB_res_peso_asc,28,273,BT,0.209641
FB_res_peso_asc,29,290,BT,0.25152
FB_res_peso_asc,30,295,BT,0.83035
FB_res_peso_asc,31,299,BT,2.297
FB_res_peso_asc,32,310,BT,0.734391
FB_res_peso_asc,33,251,BT,1.37365
FB_res_peso_asc,34,327,BT,3.43517
FB_res_peso_asc,35,320,BT,0.558322
FB_res_peso_asc,36,342,BT,2.43052
FB_res_peso_asc,37,363,BT,1.86292
FB_res_peso_asc,38,372,BT,4.06912
FB_res_peso_asc,39,390,BT,2.90511
FB_res_peso_asc,40,382,BT,8.01975
FB_res_peso_asc,41,407,BT,17.4769
FB_res_peso_asc,42,397,BT,1.29692
FB_res_peso_asc,43,423,BT,4.59767
FB_res_peso_asc,44,439,BT,6.27447
FB_res_peso_asc,45,450,BT,15.2087
FB_res_peso_asc,46,452,BT,6.10036
FB_res_peso_asc,47,465,BT,15.0625
FB_res_peso_asc,48,476,BT,19.0979
FB_res_peso_asc,49,489,BT,6.13934
FB_res_peso_asc,50,486,BT,8.34384
FB_res_peso_asc,51,510,BT,15.97
FB_res_peso_asc,52,504,BT,43.2554
FB_res_peso_asc,53,530,BT,7.93335
FB_res_peso_asc,54,534,BT,83.99
FB_res_peso_asc,55,540,BT,62.1706
FB_res_peso_asc,56,559,BT,81.3066
FB_res_peso_asc,57,569,BT,28.3251
FB_res_peso_asc,58,571,BT,5.72826
FB_res_peso_asc,59,582,BT,28.8134
FB_res_peso_asc,60,565,BT,54.2976
FB_res_peso_asc,61,599,BT,53.1208
FB_res_peso_asc,62,618,BT,108.519
FB_res_peso_asc,63,625,BT,5.39216
FB_res_peso_asc,64,633,BT,91.9348
FB_res_peso_asc,65,649,BT,30.7465
FB_res_peso_asc,66,648,BT,22.1342
FB_res_peso_asc,67,663,BT,132.74
FB_res_peso_asc,68,679,BT,27.0215
FB_res_peso_asc,69,675,BT,25.6894
FB_res_peso_asc,70,696,BT,25.157
FB_res_peso_asc,71,684,BT,28.5786
FB_res_peso_asc,72,716,BT,168.384
FB_res_peso_asc,73,704,BT,59.6829
FB_res_peso_asc,74,727,BT,1198.45
FB_res_peso_asc,75,740,BT,53.0941
FB_res_peso_asc,76,756,BT,103.069
FB_res_peso_asc,77,766,BT,20.5897
FB_res_peso_asc,78,780,BT,106.374
FB_res_peso_asc,79,769,BT,19.0847
FB_res_peso_asc,80,791,BT,195.196
FB_res_peso_asc,81,800,BT,1415.94
FB_res_peso_asc,82,809,BT,194.841
FB_res_peso_asc,83,825,BT,198.012
FB_res_peso_asc,84,806,BT,268.987
FB_res_peso_asc,85,846,BT,152.635
FB_res_peso_asc,86,844,BT,2446.92
FB_res_peso_asc,87,863,BT,517.017
FB_res_peso_asc,88,866,BT,178.857
FB_res_peso_asc,89,884,BT,2811.3
FB_res_peso_asc,90,895,BT,1131.21
FB_res_peso_asc,91,896,BT,1084.46
FB_res_peso_asc,92,913,BT,367.806
FB_res_peso_asc,93,928,BT,438.707
FB_res_peso_asc,94,938,BT,196.531
FB_res_peso_asc,95,943,BT,98.6043
FB_res_peso_asc,96,952,BT,86.7798
FB_res_peso_asc,97,970,BT,941.986
FB_res_peso_asc,98,966,BT,932.845
FB_res_peso_asc,99,988,BT,1017.14
FB_res_peso_asc,100,996,BT,727.071
FB_res_peso_desc,0,99990,BT,0.001914
FB_res_peso_desc,1,6,BT,0.001784
FB_res_peso_desc,2,6,BT,0.001803
FB_res_peso_desc,3,26,BT,0.003626
FB_res_peso_desc,4,37,BT,0.007564
FB_res_peso_desc,5,48,BT,0.007805
FB_res_peso_desc,6,56,BT,0.016801
FB_res_peso_desc,7,70,BT,0.006592
FB_res_peso_desc,8,63,BT,0.002855
