dataset,n,R,metodo,tiempo
res_peso_asc,0,49,BT-F,0.008917
res_peso_asc,0,49,BT,0.006031
res_peso_asc,1,90,BT-F,0.068127
res_peso_asc,1,90,BT,0.023503
res_peso_asc,2,150,BT-F,0.076122
res_peso_asc,2,150,BT,0.040736
res_peso_asc,3,178,BT-F,0.063618
res_peso_asc,3,178,BT,0.049573
res_peso_asc,4,236,BT-F,0.17186
res_peso_asc,4,236,BT,0.12884
res_peso_asc,5,292,BT-F,0.365661
res_peso_asc,5,292,BT,0.309467
res_peso_asc,6,348,BT-F,1.53844
res_peso_asc,6,348,BT,0.796185
res_peso_asc,7,399,BT-F,14.3378
res_peso_asc,7,399,BT,16.3642
res_peso_asc,8,424,BT-F,12.6525
res_peso_asc,8,424,BT,19.0132
res_peso_asc,9,485,BT-F,15.8204
res_peso_asc,9,485,BT,12.0706
res_peso_asc,10,547,BT-F,23.5249
res_peso_asc,10,547,BT,10.4585
res_peso_asc,11,600,BT-F,29.299
res_peso_asc,11,600,BT,18.9502
res_peso_asc,12,639,BT-F,14.1674
res_peso_asc,12,639,BT,8.72828
res_peso_asc,13,687,BT-F,141.702
res_peso_asc,13,687,BT,88.4111
res_peso_asc,14,750,BT-F,874.292
res_peso_asc,14,750,BT,382.249
res_peso_asc,15,772,BT-F,182.702
res_peso_asc,15,772,BT,101.055
res_peso_asc,16,842,BT-F,460.911
res_peso_asc,16,842,BT,208.492
res_peso_asc,17,900,BT-F,11138.2
res_peso_asc,17,900,BT,5775.32
res_peso_asc,18,940,BT-F,805.677
res_peso_asc,18,940,BT,601.328
res_peso_asc,19,998,BT-F,746.536
res_peso_asc,19,998,BT,505.909
res_peso_asc,20,1042,BT-F,547.509
res_peso_asc,20,1042,BT,374.165
res_peso_asc,21,1093,BT-F,1714.8
res_peso_asc,21,1093,BT,1316.79
res_peso_asc,22,1148,BT-F,10567.7
res_peso_asc,22,1148,BT,6017.2
res_peso_asc,23,1198,BT-F,894.67
res_peso_asc,23,1198,BT,495.838
res_peso_asc,24,1230,BT-F,3971.77
res_peso_asc,24,1230,BT,2393.42
res_peso_asc,25,1298,BT-F,22293.1
res_peso_asc,25,1298,BT,13044.2
res_peso_asc,26,1329,BT-F,16946.9
res_peso_asc,26,1329,BT,10053.2
res_peso_desc,0,45,BT-F,0.004118
res_peso_desc,0,45,BT,0.003306
res_peso_desc,1,88,BT-F,0.025749
res_peso_desc,1,88,BT,0.012824
res_peso_desc,2,137,BT-F,0.083117
res_peso_desc,2,137,BT,0.022543
res_peso_desc,3,155,BT-F,0.156645
res_peso_desc,3,155,BT,0.081173
res_peso_desc,4,240,BT-F,0.293694
res_peso_desc,4,240,BT,0.171764
res_peso_desc,5,294,BT-F,0.580806
res_peso_desc,5,294,BT,0.438557
res_peso_desc,6,333,BT-F,2.76365
res_peso_desc,6,333,BT,1.76069
res_peso_desc,7,396,BT-F,53.4505
res_peso_desc,7,396,BT,23.9136
res_peso_desc,8,445,BT-F,10.7216
res_peso_desc,8,445,BT,5.61265
res_peso_desc,9,496,BT-F,6.77655
res_peso_desc,9,496,BT,4.21913
res_peso_desc,10,548,BT-F,8.4211
res_peso_desc,10,548,BT,5.14911
res_peso_desc,11,599,BT-F,16.9967
res_peso_desc,11,599,BT,12.6894
res_peso_desc,12,636,BT-F,133.14
res_peso_desc,12,636,BT,54.3108
res_peso_desc,13,691,BT-F,74.7419
res_peso_desc,13,691,BT,36.0756
res_peso_desc,14,736,BT-F,65.7505
res_peso_desc,14,736,BT,40.1243
res_peso_desc,15,797,BT-F,673.77
res_peso_desc,15,797,BT,479.409
res_peso_desc,16,850,BT-F,37.6148
res_peso_desc,16,850,BT,28.1103
res_peso_desc,17,869,BT-F,154.777
res_peso_desc,17,869,BT,122.878
res_peso_desc,18,948,BT-F,4040.79
res_peso_desc,18,948,BT,2239.51
res_peso_desc,19,989,BT-F,1417.0
res_peso_desc,19,989,BT,803.781
res_peso_desc,20,1049,BT-F,2027.33
res_peso_desc,20,1049,BT,1094.23
res_peso_desc,21,1093,BT-F,4117.17
res_peso_desc,21,1093,BT,2247.35
res_peso_desc,22,1128,BT-F,4023.21
res_peso_desc,22,1128,BT,2897.43
res_peso_desc,23,1199,BT-F,5526.51
res_peso_desc,23,1199,BT,3143.73
res_peso_desc,24,1248,BT-F,6181.04
res_peso_desc,24,1248,BT,3234.93
res_peso_desc,25,1294,BT-F,3893.23
res_peso_desc,25,1294,BT,3117.0
res_peso_desc,26,1338,BT-F,16522.7
res_peso_desc,26,1338,BT,10558.7
