dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99999,DP,1.1029
FB_res_peso_asc,1,1,DP,0.002094
FB_res_peso_asc,2,19,DP,0.002345
FB_res_peso_asc,3,14,DP,0.002395
FB_res_peso_asc,4,32,DP,0.002816
FB_res_peso_asc,5,41,DP,0.003276
FB_res_peso_asc,6,59,DP,0.004077
FB_res_peso_asc,7,57,DP,0.004308
FB_res_peso_asc,8,79,DP,0.006502
FB_res_peso_asc,9,83,DP,0.007725
FB_res_peso_asc,10,92,DP,0.007564
FB_res_peso_asc,11,98,DP,0.009548
FB_res_peso_asc,12,118,DP,0.01059
FB_res_peso_asc,13,124,DP,0.013024
FB_res_peso_asc,14,139,DP,0.01628
FB_res_peso_asc,15,145,DP,0.015459
FB_res_peso_asc,16,146,DP,0.0163
FB_res_peso_asc,17,162,DP,0.018574
FB_res_peso_asc,18,171,DP,0.019456
FB_res_peso_asc,19,187,DP,0.023403
FB_res_peso_asc,20,194,DP,0.02682
FB_res_peso_asc,21,198,DP,0.027221
FB_res_peso_asc,22,203,DP,0.030306
FB_res_peso_asc,23,222,DP,0.031358
FB_res_peso_asc,24,227,DP,0.032481
FB_res_peso_asc,25,240,DP,0.040004
FB_res_peso_asc,26,243,DP,0.043381
FB_res_peso_asc,27,259,DP,0.045545
FB_res_peso_asc,28,273,DP,0.045454
FB_res_peso_asc,29,290,DP,0.050714
FB_res_peso_asc,30,295,DP,0.061023
FB_res_peso_asc,31,299,DP,0.065432
FB_res_peso_asc,32,310,DP,0.053008
FB_res_peso_asc,33,251,DP,0.061795
FB_res_peso_asc,34,327,DP,0.07519
FB_res_peso_asc,35,320,DP,0.066995
FB_res_peso_asc,36,342,DP,0.084698
FB_res_peso_asc,37,363,DP,0.088103
FB_res_peso_asc,38,372,DP,0.090638
FB_res_peso_asc,39,390,DP,0.088945
FB_res_peso_asc,40,382,DP,0.117478
FB_res_peso_asc,41,407,DP,0.133778
FB_res_peso_asc,42,397,DP,0.094596
FB_res_peso_asc,43,423,DP,0.115274
FB_res_peso_asc,44,439,DP,0.127928
FB_res_peso_asc,45,450,DP,0.157002
FB_res_peso_asc,46,452,DP,0.131865
FB_res_peso_asc,47,465,DP,0.16703
FB_res_peso_asc,48,476,DP,0.252339
FB_res_peso_asc,49,489,DP,0.159015
FB_res_peso_asc,50,486,DP,0.249614
FB_res_peso_asc,51,510,DP,0.179023
FB_res_peso_asc,52,504,DP,0.200432
FB_res_peso_asc,53,530,DP,0.184192
FB_res_peso_asc,54,534,DP,0.226841
FB_res_peso_asc,55,540,DP,0.337367
FB_res_peso_asc,56,559,DP,0.25868
FB_res_peso_asc,57,569,DP,0.238513
FB_res_peso_asc,58,571,DP,0.217484
FB_res_peso_asc,59,582,DP,0.222564
FB_res_peso_asc,60,565,DP,0.235788
FB_res_peso_asc,61,599,DP,0.256857
FB_res_peso_asc,62,618,DP,0.304906
FB_res_peso_asc,63,625,DP,0.239395
FB_res_peso_asc,64,633,DP,0.32305
FB_res_peso_asc,65,649,DP,0.250435
FB_res_peso_asc,66,648,DP,0.417174
FB_res_peso_asc,67,663,DP,0.342627
FB_res_peso_asc,68,679,DP,0.314735
FB_res_peso_asc,69,675,DP,0.316218
FB_res_peso_asc,70,696,DP,0.747939
FB_res_peso_asc,71,684,DP,0.338038
FB_res_peso_asc,72,716,DP,0.384655
FB_res_peso_asc,73,704,DP,0.405133
FB_res_peso_asc,74,727,DP,0.446429
FB_res_peso_asc,75,740,DP,0.395384
FB_res_peso_asc,76,756,DP,0.433585
FB_res_peso_asc,77,766,DP,0.368144
FB_res_peso_asc,78,780,DP,0.434196
FB_res_peso_asc,79,769,DP,0.438976
FB_res_peso_asc,80,791,DP,1.03065
FB_res_peso_asc,81,800,DP,0.501401
FB_res_peso_asc,82,809,DP,0.50577
FB_res_peso_asc,83,825,DP,0.534533
FB_res_peso_asc,84,806,DP,1.23982
FB_res_peso_asc,85,846,DP,1.11478
FB_res_peso_asc,86,844,DP,1.35774
FB_res_peso_asc,87,863,DP,0.580718
FB_res_peso_asc,88,866,DP,0.55429
FB_res_peso_asc,89,884,DP,0.696964
FB_res_peso_asc,90,895,DP,0.663873
FB_res_peso_asc,91,896,DP,0.631513
FB_res_peso_asc,92,913,DP,0.872881
FB_res_peso_asc,93,928,DP,0.73239
FB_res_peso_asc,94,938,DP,0.58722
FB_res_peso_asc,95,943,DP,0.590968
FB_res_peso_asc,96,952,DP,0.879243
FB_res_peso_asc,97,970,DP,0.708496
FB_res_peso_asc,98,966,DP,0.735877
FB_res_peso_asc,99,988,DP,0.805295
FB_res_peso_asc,100,996,DP,0.700711
FB_res_peso_desc,0,99990,DP,0.810555
FB_res_peso_desc,1,6,DP,0.002234
FB_res_peso_desc,2,6,DP,0.002144
FB_res_peso_desc,3,26,DP,0.002514
FB_res_peso_desc,4,37,DP,0.003055
FB_res_peso_desc,5,48,DP,0.003406
FB_res_peso_desc,6,56,DP,0.004708
FB_res_peso_desc,7,70,DP,0.004538
FB_res_peso_desc,8,63,DP,0.004118
FB_res_peso_desc,9,82,DP,0.006512
FB_res_peso_desc,10,95,DP,0.007975
FB_res_peso_desc,11,105,DP,0.008546
FB_res_peso_desc,12,111,DP,0.009668
FB_res_peso_desc,13,123,DP,0.012163
FB_res_peso_desc,14,106,DP,0.011271
FB_res_peso_desc,15,143,DP,0.013715
FB_res_peso_desc,16,158,DP,0.017232
FB_res_peso_desc,17,169,DP,0.019887
FB_res_peso_desc,18,174,DP,0.020758
FB_res_peso_desc,19,184,DP,0.02176
FB_res_peso_desc,20,180,DP,0.02676
FB_res_peso_desc,21,196,DP,0.024766
FB_res_peso_desc,22,215,DP,0.028864
FB_res_peso_desc,23,227,DP,0.034163
FB_res_peso_desc,24,237,DP,0.033532
FB_res_peso_desc,25,243,DP,0.040495
FB_res_peso_desc,26,260,DP,0.044723
FB_res_peso_desc,27,270,DP,0.047468
FB_res_peso_desc,28,267,DP,0.049202
FB_res_peso_desc,29,286,DP,0.05356
FB_res_peso_desc,30,281,DP,0.063107
FB_res_peso_desc,31,310,DP,0.056024
FB_res_peso_desc,32,320,DP,0.080559
FB_res_peso_desc,33,325,DP,0.066233
FB_res_peso_desc,34,338,DP,0.066554
FB_res_peso_desc,35,321,DP,0.065252
