dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,100000,FB,0.001603
FB_res_peso_asc,1,10,FB,0.001783
FB_res_peso_asc,2,16,FB,0.001492
FB_res_peso_asc,3,29,FB,0.002345
FB_res_peso_asc,4,35,FB,0.002845
FB_res_peso_asc,5,45,FB,0.004829
FB_res_peso_asc,6,45,FB,0.004449
FB_res_peso_asc,7,69,FB,0.006072
FB_res_peso_asc,8,80,FB,0.009377
FB_res_peso_asc,9,84,FB,0.022823
FB_res_peso_asc,10,89,FB,0.021711
FB_res_peso_asc,11,110,FB,0.036238
FB_res_peso_asc,12,115,FB,0.069359
FB_res_peso_asc,13,120,FB,0.143959
FB_res_peso_asc,14,132,FB,0.227805
FB_res_peso_asc,15,140,FB,0.45502
FB_res_peso_asc,16,156,FB,0.909138
FB_res_peso_asc,17,166,FB,1.69808
FB_res_peso_asc,18,156,FB,2.85317
FB_res_peso_asc,19,189,FB,7.1722
FB_res_peso_asc,20,198,FB,11.0356
FB_res_peso_asc,21,208,FB,21.8299
FB_res_peso_asc,22,220,FB,45.3663
FB_res_peso_asc,23,228,FB,93.4924
FB_res_peso_asc,24,221,FB,179.147
FB_res_peso_asc,25,240,FB,378.746
FB_res_peso_asc,26,253,FB,733.153
FB_res_peso_asc,27,256,FB,1586.45
FB_res_peso_asc,28,248,FB,3234.93
FB_res_peso_asc,29,266,FB,5951.55
FB_res_peso_desc,0,99963,FB,0.001433
FB_res_peso_desc,1,10,FB,0.001854
FB_res_peso_desc,2,2,FB,0.001372
FB_res_peso_desc,3,16,FB,0.002325
FB_res_peso_desc,4,34,FB,0.002765
FB_res_peso_desc,5,40,FB,0.0054
FB_res_peso_desc,6,42,FB,0.003567
FB_res_peso_desc,7,67,FB,0.015789
FB_res_peso_desc,8,74,FB,0.022392
FB_res_peso_desc,9,59,FB,0.010349
FB_res_peso_desc,10,96,FB,0.031429
FB_res_peso_desc,11,92,FB,0.038943
FB_res_peso_desc,12,117,FB,0.063008
FB_res_peso_desc,13,117,FB,0.136635
FB_res_peso_desc,14,138,FB,0.313706
FB_res_peso_desc,15,145,FB,0.473675
FB_res_peso_desc,16,158,FB,0.924107
FB_res_peso_desc,17,162,FB,1.83213
FB_res_peso_desc,18,180,FB,2.72186
FB_res_peso_desc,19,178,FB,8.31047
FB_res_peso_desc,20,167,FB,13.4098
FB_res_peso_desc,21,202,FB,32.0888
FB_res_peso_desc,22,216,FB,52.4088
FB_res_peso_desc,23,208,FB,89.3941
FB_res_peso_desc,24,225,FB,189.76
FB_res_peso_desc,25,250,FB,355.12
FB_res_peso_desc,26,257,FB,781.035
FB_res_peso_desc,27,270,FB,1573.84
FB_res_peso_desc,28,280,FB,3012.81
FB_res_peso_desc,29,273,FB,5848.01
